index,eigenvalue,cumulative,gap
0,1.5716959238052368,1.5716959238052368,0.05040311813354492
1,1.521292805671692,3.0929887294769287,0.05986976623535156
2,1.4614230394363403,4.554411888122559,0.0405430793762207
3,1.4208799600601196,5.975291728973389,0.03566384315490723
4,1.3852161169052124,7.360507965087891,0.028995871543884277
5,1.3562202453613281,8.716728210449219,0.03825545310974121
6,1.317964792251587,10.034692764282227,0.040332913398742676
7,1.2776318788528442,11.312324523925781,0.028560876846313477
8,1.2490710020065308,12.561395645141602,0.03853118419647217
9,1.2105398178100586,13.77193546295166,0.03796708583831787
10,1.1725727319717407,14.94450855255127,0.038445353507995605
11,1.1341273784637451,16.078636169433594,0.009984135627746582
12,1.1241432428359985,17.20277976989746,0.011487722396850586
13,1.112655520439148,18.3154354095459,0.057810306549072266
14,1.0548452138900757,19.370281219482422,0.023480892181396484
15,1.0313643217086792,20.40164566040039,0.014343500137329102
16,1.01702082157135,21.41866683959961,0.022923529148101807
17,0.9940972924232483,22.412763595581055,0.020567238330841064
18,0.9735300540924072,23.386293411254883,0.02558654546737671
19,0.9479435086250305,24.33423614501953,0.010186910629272461
20,0.9377565979957581,25.27199363708496,0.04782634973526001
21,0.889930248260498,26.161924362182617,0.03228801488876343
22,0.8576422333717346,27.019567489624023,0.004610002040863037
23,0.8530322313308716,27.872600555419922,0.03818243741989136
24,0.8148497939109802,28.687450408935547,0.0346527099609375
25,0.7801970839500427,29.467647552490234,0.02865302562713623
26,0.7515440583229065,30.219192504882812,0.014535784721374512
27,0.737008273601532,30.956201553344727,0.02383965253829956
28,0.7131686210632324,31.669370651245117,0.03143179416656494
29,0.6817368268966675,32.35110855102539,0.04397022724151611
30,0.6377665996551514,32.98887634277344,0.02105790376663208
31,0.6167086958885193,33.60558319091797,0.0621187686920166
32,0.5545899271965027,34.16017150878906,0.0293351411819458
33,0.5252547860145569,34.6854248046875,0.031092017889022827
34,0.49416276812553406,35.179588317871094,0.49416276812553406
35,1.0866917088403483e-10,35.179588317871094,1.918094849617802e-11
36,8.948822238785681e-11,35.179588317871094,3.819272675897878e-11
37,5.129549562887803e-11,35.179588317871094,1.1489895840322006e-11
38,3.980559978855602e-11,35.179588317871094,4.550717441764718e-12
39,3.5254882346791305e-11,35.179588317871094,1.266878962846718e-12
40,3.398800338394459e-11,35.179588317871094,1.3345451480017978e-11
41,2.064255190392661e-11,35.179588317871094,1.2803161308916344e-12
42,1.9362235773034975e-11,35.179588317871094,5.762912716478219e-12
43,1.3599323056556756e-11,35.179588317871094,3.6725613869470486e-12
44,9.926761669609707e-12,35.179588317871094,1.0774393530144089e-12
45,8.849322316595298e-12,35.179588317871094,1.1116298853641737e-12
46,7.737692431231125e-12,35.179588317871094,1.0872396732919398e-12
47,6.650452757939185e-12,35.179588317871094,2.7619833503633728e-14
48,6.622832924435551e-12,35.179588317871094,1.3369487808501113e-12
49,5.28588414358544e-12,35.179588317871094,4.978027538793395e-13
50,4.7880813897061e-12,35.179588317871094,3.871243603459362e-13
51,4.400957029360164e-12,35.179588317871094,2.417705792512326e-13
52,4.1591864501089315e-12,35.179588317871094,1.5048112495669175e-12
53,2.654375200542014e-12,35.179588317871094,2.3399251286582157e-13
54,2.4203826876761925e-12,35.179588317871094,7.257345766009671e-14
55,2.3478092300160958e-12,35.179588317871094,1.603234905944717e-12
56,7.445743782814873e-13,35.179588317871094,2.3734443230227775e-13
57,5.072299459792096e-13,35.179588317871094,2.8821825568542403e-12
58,-2.3749526650851394e-12,35.179588317871094,1.839002040926463e-14
59,-2.393342685494404e-12,35.179588317871094,3.065617855055325e-12
60,-5.458960540549729e-12,35.179588317871094,1.735251265594373e-12
61,-7.194211806144102e-12,35.179588317871094,5.814718064683921e-12
62,-1.3008929870828023e-11,35.179588317871094,1.6481252126943069e-12
63,-1.465705508352233e-11,35.179588317871094,4.525949059974721e-12
64,-1.918300414349705e-11,35.179588317871094,1.094763689424294e-11
65,-3.013064103773999e-11,35.179588317871094,8.63331281464319e-12
66,-3.876395385238318e-11,35.179588317871094,8.317929678369751e-13
67,-3.959574682022016e-11,35.179588317871094,1.822395012673894e-11
68,-5.78196969469591e-11,35.179588317871094,4.22888217499473e-11
69,-1.001085186969064e-10,35.179588317871094,1.2109799274462318e-11
70,-1.1221831797136872e-10,35.179588317871094,1.171844565828195e-11
71,-1.2393676362965067e-10,35.179588317871094,1.857541898075965e-12
72,-1.2579430552772664e-10,35.179588317871094,3.248937230360127e-11
73,-1.582836778313279e-10,35.179588317871094,1.700556362393968e-12
74,-1.5998423419372187e-10,35.179588317871094,1.530113535874733e-11
75,-1.752853695524692e-10,35.179588317871094,4.5270565074417846e-11
76,-2.2055593462688705e-10,35.179588317871094,0.0
