epoch,phase,lr,loss_total,loss_torsion,loss_d_phi,loss_d_phi_dual,loss_volume,loss_ortho,loss_det,det_g_mean,det_gram,torsion_test,det_gram_test
0,phase1,0.0,0.0011956040980294347,0.010484611615538597,0.00024671817664057016,0.010237893089652061,1.1287498713485888e-13,0.00014714292774442583,0.0,0.9999998807907104,0.6239128708839417,,
1,phase1,2.0000000000000002e-07,0.001163210952654481,0.010422921739518642,0.0002474200737196952,0.010175501927733421,1.1336591387856032e-13,0.00012091874668840319,0.0,0.9999998807907104,0.7389158010482788,,
2,phase1,4.0000000000000003e-07,0.0011729856487363577,0.01032776478677988,0.000246827257797122,0.010080937296152115,1.1326183047000171e-13,0.00014020910020917654,0.0,0.9999998807907104,0.49058809876441956,,
3,phase1,6.000000000000001e-07,0.0011293397983536124,0.009992305189371109,0.0002488716272637248,0.009743433445692062,1.1554125711743524e-13,0.00013010924158152193,0.0,0.9999998807907104,0.6489453315734863,,
4,phase1,8.000000000000001e-07,0.0010284439194947481,0.00924412626773119,0.00024405511794611812,0.009000071324408054,1.0911757608589312e-13,0.00010403130727354437,0.0,0.9999998807907104,0.6159091591835022,,
5,phase1,1.0000000000000002e-06,0.0010063850786536932,0.008785408921539783,0.00024576979922130704,0.008539639413356781,1.0548506512719769e-13,0.00012784420687239617,0.0,0.9999998807907104,0.47904425859451294,,
6,phase1,1.2000000000000002e-06,0.0008425342384725809,0.007590272463858128,0.0002460626419633627,0.007344209589064121,1.052821024805084e-13,8.350697316927835e-05,0.0,0.9999998807907104,0.7860627174377441,,
7,phase1,1.4000000000000001e-06,0.0006917627761140466,0.006308632902801037,0.0002449582680128515,0.0060636745765805244,1.1057647852918961e-13,6.089949238230474e-05,0.0,0.9999998807907104,0.734290361404419,,
8,phase1,1.6000000000000001e-06,0.0005893338820897043,0.004796285182237625,0.00024169313837774098,0.004554592072963715,1.1043770065111147e-13,0.00010970533912768587,0.0,0.9999998807907104,0.7429052591323853,,
9,phase1,1.8e-06,0.00046663492685183883,0.0035029728896915913,0.0002435100614093244,0.003259462770074606,1.1358795848348535e-13,0.00011633764370344579,0.0,0.9999998807907104,0.5900696516036987,,
10,phase1,2.0000000000000003e-06,0.00031899817986413836,0.002300622873008251,0.00024274930183310062,0.0020578736439347267,1.1235977426249377e-13,8.893588528735563e-05,0.0,0.9999998807907104,0.6686479449272156,,
11,phase1,2.2e-06,0.00023800524650141597,0.0013931773137301207,0.00023892306489869952,0.0011542541906237602,1.1038045477640424e-13,9.868751658359542e-05,0.0,0.9999998807907104,0.583443284034729,,
12,phase1,2.4000000000000003e-06,0.0001912686275318265,0.0010264937300235033,0.0002399085060460493,0.0007865852094255388,1.147658357236736e-13,8.861925743985921e-05,0.0,0.9999998807907104,0.56089186668396,,
13,phase1,2.6e-06,0.0001842025958467275,0.001100609777495265,0.0002437927614664659,0.0008568170014768839,1.0828317409394828e-13,7.414162246277556e-05,0.0,0.9999998807907104,0.7332617044448853,,
14,phase1,2.8000000000000003e-06,0.00022069383703637868,0.0014790261629968882,0.00024020980345085263,0.0012388164177536964,1.1035096447731263e-13,7.279121200554073e-05,0.0,0.9999998807907104,0.7788991928100586,,
15,phase1,3e-06,0.00028752695652656257,0.001964934403076768,0.00024218672479037195,0.0017227476928383112,1.105105590371025e-13,9.103350748773664e-05,0.0,0.9999998807907104,0.696294367313385,,
16,phase1,3.2000000000000003e-06,0.0003281481331214309,0.002480498980730772,0.00024144115741364658,0.002239057794213295,1.0903951352947416e-13,8.00982306827791e-05,0.0,0.9999998807907104,0.8302689790725708,,
17,phase1,3.4000000000000005e-06,0.00038483517710119486,0.0028559290803968906,0.00024089490761980414,0.0026150341145694256,1.1519431242223988e-13,9.924227197188884e-05,0.0,0.9999998807907104,0.6926684379577637,,
18,phase1,3.6e-06,0.00035718813887797296,0.0030817631632089615,0.0002412781468592584,0.002840484958142042,1.0898573710171888e-13,4.901182182948105e-05,0.0,0.9999998807907104,0.8006650805473328,,
19,phase1,3.8e-06,0.00038626400055363774,0.0030377840157598257,0.00023951390176080167,0.0027982702013105154,1.1196078786301911e-13,8.248559606727213e-05,0.0,0.9999998807907104,0.6917593479156494,,
20,phase1,4.000000000000001e-06,0.00037572564906440675,0.002777855144813657,0.00023969620815478265,0.0025381590239703655,1.1102230246251565e-13,9.794012294150889e-05,0.0,0.9999998807907104,0.8381027579307556,,
21,phase1,4.2000000000000004e-06,0.0002936418750323355,0.0023024522233754396,0.00023810408310964704,0.0020643481984734535,1.0568108887998306e-13,6.33966556051746e-05,0.0,0.9999998807907104,0.9680293798446655,,
22,phase1,4.4e-06,0.00022042656200937927,0.0016298008849844337,0.00024034400121308863,0.0013894569128751755,1.0793275995180096e-13,5.744646841776557e-05,0.0,0.9999998807907104,0.8807547688484192,,
23,phase1,4.6e-06,0.00019042800704482943,0.0009640807984396815,0.0002365615509916097,0.0007275192765519023,1.0812531425763439e-13,9.401992429047823e-05,0.0,0.9999998807907104,0.6532866358757019,,
24,phase1,4.800000000000001e-06,0.0001276350812986493,0.0005708212265744805,0.00024170539109036326,0.00032911583548411727,1.1055392712400192e-13,7.055296009639278e-05,0.0,0.9999998807907104,0.9774443507194519,,
25,phase1,5e-06,0.0001320623850915581,0.0007205255678854883,0.0002400708181085065,0.000480454764328897,1.079518419100367e-13,6.0009824665030465e-05,0.0,0.9999998807907104,0.9617581963539124,,
26,phase1,5.2e-06,0.00015651711146347225,0.0010739272693172097,0.00023884582333266735,0.0008350814459845424,1.1437899238853078e-13,4.912438089377247e-05,0.0,0.9999998807907104,1.2163739204406738,,
27,phase1,5.4e-06,0.000198094523511827,0.0012819110415875912,0.00023955060169100761,0.0010423604398965836,1.0903257463557026e-13,6.99034208082594e-05,0.0,0.9999998807907104,0.8930962085723877,,
28,phase1,5.600000000000001e-06,0.00016323379531968385,0.0011950753396376967,0.00023824871459510177,0.0009568266104906797,1.1237538677377756e-13,4.37262533523608e-05,0.0,0.9999998807907104,1.1561425924301147,,
29,phase1,5.8e-06,0.00015500051085837185,0.0009331756155006588,0.0002354946918785572,0.0006976809236221015,1.0645477555026872e-13,6.168294930830598e-05,0.0,0.9999998807907104,0.9494959115982056,,
30,phase1,6e-06,0.00013178119843360037,0.0007156322826631367,0.00023427075939252973,0.000481361523270607,1.1144730971412997e-13,6.0217975260457024e-05,0.0,0.9999998807907104,0.9595863223075867,,
31,phase1,6.2e-06,9.377284732181579e-05,0.0005840468220412731,0.00023376748140435666,0.00035027932608500123,1.0833001162779965e-13,3.5368164390092716e-05,0.0,0.9999998807907104,0.9677870273590088,,
32,phase1,6.4000000000000006e-06,0.00011659799929475412,0.0005512379575520754,0.00023813452571630478,0.00031310346093960106,1.1305886782331243e-13,6.147420208435506e-05,0.0,0.9999998807907104,1.1143772602081299,,
33,phase1,6.6e-06,0.00010720397403929383,0.0006596351158805192,0.0002375911280978471,0.00042204398778267205,1.1150629031231318e-13,4.124046608922072e-05,0.0,0.9999998807907104,0.9748467803001404,,
34,phase1,6.800000000000001e-06,0.00012971072283107787,0.0007667913450859487,0.0002359653008170426,0.0005308260442689061,1.1350295703316249e-13,5.3031584684504196e-05,0.0,0.9999998807907104,1.197583556175232,,
35,phase1,7.000000000000001e-06,0.00012297515058889985,0.0006272033788263798,0.00023330212570726871,0.0003939012240152806,1.1316468595534701e-13,6.025480615790002e-05,0.0,0.9999998807907104,0.9429903030395508,,
36,phase1,7.2e-06,0.00010257794929202646,0.00044134596828371286,0.000235019761021249,0.00020632620726246387,1.1106913999636703e-13,5.844335100846365e-05,0.0,0.9999998807907104,0.9894862174987793,,
37,phase1,7.4e-06,0.00014062237460166216,0.0004911480937153101,0.00023469855659641325,0.0002564495662227273,1.1136577771075906e-13,9.150756523013115e-05,0.0,0.9999998807907104,1.1563719511032104,,
38,phase1,7.6e-06,0.0001048486155923456,0.0005386762786656618,0.00023308582603931427,0.000305590481730178,1.092684970283031e-13,5.098098699818365e-05,0.0,0.9999998807907104,1.0101451873779297,,
39,phase1,7.8e-06,0.00010282438597641885,0.000454758876003325,0.00023222065647132695,0.0002225382049800828,1.1537645838721744e-13,5.73485012864694e-05,0.0,0.9999998807907104,1.0807459354400635,,
40,phase1,8.000000000000001e-06,0.00012452818918973207,0.0004431961860973388,0.0002378992212470621,0.0002052969648502767,1.09051656593806e-13,8.020857785595581e-05,0.0,0.9999998807907104,1.1466299295425415,,
41,phase1,8.200000000000001e-06,0.0001162454136647284,0.00044361865730024874,0.00023343972861766815,0.0002101789286825806,1.0919216919536012e-13,7.188354356912896e-05,0.0,0.9999998807907104,1.101714015007019,,
42,phase1,8.400000000000001e-06,0.00012735690688714385,0.00041040778160095215,0.00023107274319045246,0.0001793350384104997,1.1185150028403257e-13,8.63161330926232e-05,0.0,0.9999998807907104,0.8685777187347412,,
43,phase1,8.599999999999999e-06,9.211349242832512e-05,0.0004193312779534608,0.00023419271747116,0.00018513856048230082,1.0453964083279033e-13,5.018036245019175e-05,0.0,0.9999998807907104,0.807580828666687,,
44,phase1,8.8e-06,0.00010445585940033197,0.00036436988739296794,0.00023210822837427258,0.00013226167357061058,1.0945411244023262e-13,6.801886775065213e-05,0.0,0.9999998807907104,1.0700725317001343,,
45,phase1,9e-06,0.00011675759014906362,0.00032106239814311266,0.00023037630307953805,9.068609506357461e-05,1.1030412694346126e-13,8.465135033475235e-05,0.0,0.9999998807907104,0.8016899824142456,,
46,phase1,9.2e-06,9.599977056495845e-05,0.0003872947709169239,0.0002317724865861237,0.00015552228433080018,1.112131220448731e-13,5.727029201807454e-05,0.0,0.9999998807907104,1.1195091009140015,,
47,phase1,9.4e-06,8.821494702715427e-05,0.0003787899622693658,0.00022894723224453628,0.0001498427300248295,1.0563945551655962e-13,5.0335955165792257e-05,0.0,0.9999998807907104,0.9149954915046692,,
48,phase1,9.600000000000001e-06,8.003082621144131e-05,0.00031754313386045396,0.00023200060240924358,8.554253145121038e-05,1.1414653944274988e-13,4.827651355299167e-05,0.0,0.9999998807907104,0.8350544571876526,,
49,phase1,9.800000000000001e-06,5.718434840673581e-05,0.00030275958124548197,0.00022839196026325226,7.436760643031448e-05,1.1078464534630683e-13,2.6908388463198207e-05,0.0,0.9999998807907104,0.8638207316398621,,
50,phase1,1e-05,9.659870556788519e-05,0.00030749046709388494,0.00022843641636427492,7.90540361776948e-05,1.1131547072995573e-13,6.584965740330517e-05,0.0,0.9999998807907104,0.7905556559562683,,
51,phase1,1.02e-05,8.059808169491589e-05,0.00033220212208107114,0.00022727280156686902,0.00010492930596228689,1.1319591097791459e-13,4.73778709420003e-05,0.0,0.9999998807907104,0.9963393807411194,,
52,phase1,1.04e-05,8.112582145258784e-05,0.000321303668897599,0.0002263351925648749,9.496849088463932e-05,1.1326529991695367e-13,4.899545092484914e-05,0.0,0.9999998807907104,0.9464031457901001,,
53,phase1,1.06e-05,9.542018960928544e-05,0.00027023552684113383,0.00023092128685675561,3.9314232708420604e-05,1.066213090039625e-13,6.839663546998054e-05,0.0,0.9999998807907104,0.896423876285553,,
54,phase1,1.08e-05,0.00011320224439259619,0.0002741101197898388,0.00022645218996331096,4.765792255057022e-05,1.0973513764334086e-13,8.579123095842078e-05,0.0,0.9999998807907104,1.1725170612335205,,
55,phase1,1.1000000000000001e-05,6.502704491140321e-05,0.0002973821246996522,0.00022573524620383978,7.164686394389719e-05,1.1031453528431712e-13,3.528883098624647e-05,0.0,0.9999998807907104,0.9088795185089111,,
