epoch,loss,torsion,volume,det_gram,harmonic_ortho,separation,boundary,decay,lr
0,0.7384520769119263,0.5785043239593506,0.0,0.07132133096456528,0.15769006311893463,0.0,1.5559601783752441,0.6136254668235779,9.999999755727293e-05
10,0.39538711309432983,0.038535844534635544,0.0,0.3323558568954468,0.08469820767641068,0.0,0.8517733216285706,0.6182489395141602,9.999970443031635e-05
20,0.17776261270046234,0.012697744183242321,0.0,0.7897970080375671,0.0330042839050293,0.0,0.8317539691925049,0.6042188405990601,9.99989227612609e-05
30,0.10377887636423111,0.006706765852868557,0.0,0.974707841873169,0.01054808497428894,0.0,0.8236265778541565,0.6111236810684204,9.999765255782128e-05
40,0.1052139550447464,0.00459168991073966,0.0,0.9728535413742065,0.01119921263307333,0.0,0.8199284672737122,0.6063348054885864,9.999589383253392e-05
50,0.09350025653839111,0.0036711418069899082,0.0,0.9883161783218384,0.0073070521466434,0.0,0.8170596361160278,0.6107171773910522,9.999364660275672e-05
60,0.09151925146579742,0.003069220809265971,0.0,0.9906585812568665,0.006522922310978174,0.0,0.8227213621139526,0.6131625175476074,9.999091089066899e-05
70,0.09102979302406311,0.0028667165897786617,0.0,0.9906165599822998,0.006548136472702026,0.0,0.8222906589508057,0.6024925708770752,9.998768672327103e-05
80,0.08831658214330673,0.0026846237014979124,0.0,0.9937347173690796,0.005339419934898615,0.0,0.8255705237388611,0.6177064180374146,9.998397413238407e-05
90,0.09233339130878448,0.0028725373558700085,0.0,0.9897977709770203,0.006820387206971645,0.0,0.8251495361328125,0.6093413233757019,9.997977315464996e-05
100,0.09068933129310608,0.0025168959982693195,0.0,0.9910951256752014,0.006362971384078264,0.0,0.8194504976272583,0.6099951267242432,9.99750838315306e-05
110,0.0908588320016861,0.0023956564255058765,0.0,0.9910438060760498,0.006379224825650454,0.0,0.8257873058319092,0.6061933040618896,9.996990620930771e-05
120,0.0919431746006012,0.0021887258626520634,0.0,0.989901602268219,0.006791648454964161,0.0,0.8184590339660645,0.6106389164924622,9.996424033908236e-05
130,0.08924736082553864,0.0021592467091977596,0.0,0.9922575354576111,0.005939922295510769,0.0,0.8156105279922485,0.6107594966888428,9.995808627677437e-05
140,0.09010648727416992,0.002293280092999339,0.0,0.9915475845336914,0.006212741136550903,0.0,0.8184800148010254,0.6085562705993652,9.99514440831219e-05
150,0.08862701058387756,0.002061358653008938,0.0,0.9933751821517944,0.0054854536429047585,0.0,0.8220123052597046,0.6193312406539917,9.994431382368066e-05
160,0.0897713303565979,0.0020828861743211746,0.0,0.9923850297927856,0.00588948093354702,0.0,0.8245820999145508,0.6153721809387207,9.993669556882343e-05
170,0.08669483661651611,0.0017104425933212042,0.0,0.9942315816879272,0.0051216850988566875,0.0,0.8188931345939636,0.6059902906417847,9.992858939373938e-05
