epoch,loss_total,loss_torsion,loss_d_phi,loss_d_phi_dual,loss_volume,loss_ortho,loss_det,det_g_mean,det_gram
0,91.34637451171875,913.458984375,25.352685928344727,888.1063232421875,1.8858421768630507e-12,0.047618743032217026,0.0,0.999998927116394,0.0
1,53.063232421875,529.6741333007812,25.036911010742188,504.63720703125,1.635183308201782e-12,0.047618746757507324,0.0,0.999998927116394,0.0
2,39.62456130981445,394.8194885253906,25.10895538330078,369.7105407714844,1.8414939711997036e-12,0.047618743032217026,0.0,0.999998927116394,0.0
3,20.08210563659668,199.7377166748047,24.66769027709961,175.0700225830078,2.1530919408485616e-12,0.047618743032217026,0.0,0.999998927116394,0.0
4,11.840680122375488,117.5556411743164,24.3289852142334,93.22665405273438,1.8497165604758337e-12,0.047618746757507324,0.0,0.999998927116394,0.0
5,10.83810043334961,107.40955352783203,23.76154327392578,83.64801025390625,2.127466605661432e-12,0.047618743032217026,0.0,0.999998927116394,0.0
6,9.606932640075684,95.03815460205078,23.943023681640625,71.09513092041016,1.968602364454952e-12,0.047618743032217026,0.0,0.999998927116394,0.0
7,7.880541801452637,77.82012176513672,23.659954071044922,54.1601676940918,1.943698674233829e-12,0.047618743032217026,0.0,0.999998927116394,0.0
8,6.613772392272949,65.19416809082031,24.025821685791016,41.1683464050293,1.881323222208131e-12,0.047618746757507324,0.0,0.999998927116394,0.0
9,5.368463039398193,52.82411575317383,23.70833969116211,29.11577606201172,1.7352091985500806e-12,0.047618743032217026,0.0,0.999998927116394,0.0
10,4.4336934089660645,43.54829788208008,22.869670867919922,20.678627014160156,1.8682867752861654e-12,0.047618743032217026,0.0,0.999998927116394,0.0
11,4.092783451080322,40.12852478027344,23.60299301147461,16.52553367614746,1.7248945327619225e-12,0.047618743032217026,0.0,0.9999989867210388,0.0
12,3.943899393081665,38.6004638671875,22.434009552001953,16.166454315185547,1.9055989425309505e-12,0.047618743032217026,0.0,0.999998927116394,0.0
13,3.639268159866333,35.555912017822266,22.315807342529297,13.240103721618652,1.78790836302678e-12,0.047618746757507324,0.0,0.999998927116394,0.0
14,3.4899752140045166,34.037254333496094,22.451396942138672,11.585859298706055,2.177154290183836e-12,0.047618743032217026,0.0,0.999998927116394,0.0
15,3.22357177734375,31.38359832763672,22.16741943359375,9.216177940368652,1.952025346918518e-12,0.04761873558163643,0.0,0.999998927116394,0.0
16,3.102915048599243,30.155899047851562,22.340646743774414,7.815251350402832,1.793527132365469e-12,0.047618743032217026,0.0,0.999998927116394,0.0
17,2.9818501472473145,28.92852783203125,21.653079986572266,7.275448322296143,2.192704351422492e-12,0.047618743032217026,0.0,0.999998927116394,0.0
18,2.8257322311401367,27.36590576171875,21.25101089477539,6.114893913269043,1.806390106939837e-12,0.047618743032217026,0.0,0.999998927116394,0.0
19,2.680267333984375,25.911731719970703,20.858346939086914,5.053383827209473,1.8309000149319132e-12,0.047618743032217026,0.0,0.999998927116394,0.0
20,2.629863977432251,25.380191802978516,20.668174743652344,4.7120161056518555,1.82352397071206e-12,0.047618746757507324,0.0,0.999998927116394,0.0
21,2.5950961112976074,25.001155853271484,20.644882202148438,4.3562726974487305,1.8049485517313002e-12,0.04761873558163643,0.0,0.999998927116394,0.0
22,2.5377490520477295,24.40624237060547,20.713150024414062,3.6930923461914062,1.7562999665710066e-12,0.04761873558163643,0.0,0.999998927116394,0.0
23,2.5281763076782227,24.27213478088379,20.241374969482422,4.030759811401367,2.0360432090305025e-12,0.047618743032217026,0.0,0.999998927116394,0.0
24,2.3833837509155273,22.842288970947266,19.553205490112305,3.2890844345092773,1.9961948760638393e-12,0.047618743032217026,0.0,0.999998927116394,0.0
25,2.3414971828460693,22.402114868164062,19.550369262695312,2.8517446517944336,1.7749204883621417e-12,0.047618743032217026,0.0,0.999998927116394,0.0
26,2.2565746307373047,21.552335739135742,18.980411529541016,2.5719237327575684,1.8019492148413363e-12,0.047618743032217026,0.0,0.999998927116394,0.0
