epoch,loss,torsion,phi_norm_sq,det_g
0,498.8592529296875,4988.4580078125,6.999995231628418,0.963326096534729
1,395.4638671875,3954.50439453125,6.999996185302734,0.9633492827415466
2,327.12408447265625,3271.1064453125,6.999996185302734,0.963370144367218
3,242.04747009277344,2420.3408203125,6.999997138977051,0.9634188413619995
4,214.1284637451172,2141.151123046875,6.999997138977051,0.9634528160095215
5,159.348388671875,1593.3504638671875,6.999998092651367,0.963477611541748
6,116.57893371582031,1165.65625,6.999998092651367,0.9635211229324341
7,80.8561019897461,808.42822265625,6.999998092651367,0.9635695815086365
8,58.917755126953125,589.0449829101562,6.999998092651367,0.9635928273200989
9,39.04069900512695,390.27471923828125,6.999998092651367,0.9636319875717163
10,24.171039581298828,241.578369140625,6.999998092651367,0.9636635780334473
11,14.8762788772583,148.63087463378906,6.999998092651367,0.9636797904968262
12,8.793412208557129,87.80230712890625,6.999998092651367,0.9636935591697693
13,5.524543285369873,55.113685607910156,6.999998092651367,0.9637033939361572
14,3.7644271850585938,37.51256561279297,6.999998092651367,0.9637088775634766
15,2.489112377166748,24.759441375732422,6.999999046325684,0.963712215423584
16,1.600856900215149,15.876917839050293,6.999999046325684,0.9637161493301392
17,1.1584023237228394,11.452383041381836,6.999999046325684,0.9637178182601929
18,0.8534464836120605,8.402836799621582,6.999999046325684,0.9637194871902466
19,0.6848564147949219,6.716948986053467,6.999999046325684,0.9637212753295898
20,0.49784567952156067,4.846855163574219,6.999999523162842,0.9637230634689331
21,0.38927745819091797,3.761183738708496,6.999999523162842,0.9637246131896973
22,0.30771777033805847,2.945596218109131,7.0,0.9637258648872375
23,0.23870834708213806,2.2555153369903564,7.0,0.9637276530265808
24,0.18372374773025513,1.7056782245635986,6.999999523162842,0.9637289047241211
25,0.14271068572998047,1.295556664466858,7.0,0.9637301564216614
26,0.1091790720820427,0.9602447748184204,7.0,0.9637307524681091
27,0.08804202079772949,0.7488788962364197,7.0,0.9637313485145569
28,0.07137788832187653,0.5822387337684631,7.0,0.9637315273284912
29,0.06042299047112465,0.47269144654273987,7.0,0.9637317657470703
30,0.04968360811471939,0.3652987480163574,7.0,0.9637319445610046
31,0.04294365644454956,0.2979002594947815,7.0,0.9637320637702942
32,0.037317708134651184,0.2416388988494873,7.0,0.9637318253517151
33,0.03240928053855896,0.19255506992340088,7.0,0.9637318849563599
34,0.02936033345758915,0.16206619143486023,7.0,0.9637319445610046
35,0.026428744196891785,0.1327507197856903,7.0,0.9637320041656494
36,0.024591781198978424,0.1143837422132492,7.0,0.9637323617935181
37,0.022514300420880318,0.0936100035905838,7.0,0.9637324810028076
38,0.021029409021139145,0.07876245677471161,7.0,0.9637327194213867
39,0.020000958815217018,0.06847898662090302,7.0,0.9637328386306763
40,0.0189313106238842,0.05778373405337334,7.0,0.9637330770492554
41,0.018419476225972176,0.05266648530960083,7.0,0.9637331962585449
42,0.017628977075219154,0.04476093500852585,7.0,0.9637330770492554
43,0.017163803800940514,0.04011128097772598,7.0,0.9637333750724792
44,0.01678970456123352,0.036371804773807526,7.0,0.9637335538864136
45,0.016269603744149208,0.03117312118411064,7.0,0.9637339115142822
46,0.015735547989606857,0.0258321613073349,7.0,0.9637338519096375
