epoch,phase,loss,torsion_closure,torsion_coclosure,volume,topological,boundary,det_gram_h2,lr
0,phase1_neck_stability,791.5426635742188,30.345924377441406,25.640071868896484,8.95603036177306e-14,1.789189338684082,1.2186672687530518,1.0021007061004639,9.999999755727293e-05
10,phase1_neck_stability,4.244730472564697,1.4472770690917969,1.2632663249969482,7.853266648094603e-14,1.789189338684082,1.2206299304962158,1.0021005868911743,9.999999755727293e-05
20,phase1_neck_stability,2.534446954727173,0.3945114314556122,0.3438647985458374,8.136893936416811e-14,1.7891886234283447,1.2166342735290527,1.0021013021469116,9.999999755727293e-05
30,phase1_neck_stability,2.428828716278076,0.1841375082731247,0.16082045435905457,7.870787355201969e-14,1.7891889810562134,1.2195098400115967,1.002100944519043,9.999999755727293e-05
40,phase1_neck_stability,2.4085330963134766,0.10665871202945709,0.09410156309604645,7.779193955670394e-14,1.7891889810562134,1.2184569835662842,1.002100944519043,9.999999755727293e-05
50,phase1_neck_stability,2.4044110774993896,0.07439741492271423,0.06550522893667221,7.836266358030031e-14,1.7891887426376343,1.2206186056137085,1.002101182937622,9.999999755727293e-05
60,phase1_neck_stability,2.4002513885498047,0.05295082554221153,0.04756182059645653,8.078433755276393e-14,1.7891887426376343,1.2170591354370117,1.002101182937622,9.999999755727293e-05
70,phase1_neck_stability,2.399728298187256,0.04049963876605034,0.03729218989610672,7.750050601273983e-14,1.7891889810562134,1.2180477380752563,1.002100944519043,9.999999755727293e-05
80,phase1_neck_stability,2.400604248046875,0.03144165500998497,0.029245546087622643,7.793939105216197e-14,1.7891887426376343,1.22098708152771,1.002101182937622,9.999999755727293e-05
90,phase1_neck_stability,2.4002721309661865,0.02744954824447632,0.02542024850845337,7.850664562880638e-14,1.7891887426376343,1.2207670211791992,1.002101182937622,9.999999755727293e-05
100,phase1_neck_stability,2.3995673656463623,0.022225163877010345,0.02022697404026985,8.295100717425896e-14,1.789189100265503,1.219853401184082,1.0021008253097534,9.99750838315306e-05
110,phase1_neck_stability,2.3998074531555176,0.022197112441062927,0.019668463617563248,8.140363383368765e-14,1.7891896963119507,1.2203561067581177,1.0021003484725952,9.99750838315306e-05
120,phase1_neck_stability,2.400010824203491,0.021345295011997223,0.018882889300584793,7.819439540313056e-14,1.7891889810562134,1.220831274986267,1.002100944519043,9.99750838315306e-05
130,phase1_neck_stability,2.3995795249938965,0.020590178668498993,0.018371041864156723,7.644752886282191e-14,1.7891894578933716,1.2200186252593994,1.0021004676818848,9.99750838315306e-05
140,phase1_neck_stability,2.3997621536254883,0.019502907991409302,0.01743849366903305,7.958737835433993e-14,1.789189100265503,1.2204618453979492,1.0021008253097534,9.99750838315306e-05
150,phase1_neck_stability,2.398993730545044,0.020402610301971436,0.01816549524664879,8.209231905365044e-14,1.7891892194747925,1.2188626527786255,1.0021007061004639,9.99750838315306e-05
160,phase1_neck_stability,2.399428129196167,0.02204568311572075,0.0197286456823349,7.788734934788266e-14,1.7891889810562134,1.2196029424667358,1.002100944519043,9.99750838315306e-05
170,phase1_neck_stability,2.400411367416382,0.019062858074903488,0.0169602669775486,8.05692318417428e-14,1.7891895771026611,1.2217925786972046,1.0021004676818848,9.99750838315306e-05
180,phase1_neck_stability,2.3978772163391113,0.01872476190328598,0.01688295230269432,7.776071453413635e-14,1.7891889810562134,1.2167408466339111,1.002100944519043,9.99750838315306e-05
190,phase1_neck_stability,2.39894437789917,0.018704697489738464,0.01671496406197548,7.85049109053304e-14,1.7891887426376343,1.2188819646835327,1.002101182937622,9.99750838315306e-05
200,phase1_neck_stability,2.398641586303711,0.01867029257118702,0.016597723588347435,7.965850201685498e-14,1.7891892194747925,1.21828031539917,1.0021007061004639,9.990134417124586e-05
210,phase1_neck_stability,2.398322343826294,0.018919698894023895,0.0168756153434515,7.787347156007485e-14,1.789189100265503,1.2176235914230347,1.0021008253097534,9.990134417124586e-05
220,phase1_neck_stability,2.400324821472168,0.019778873771429062,0.01767248660326004,7.96949312098505e-14,1.7891886234283447,1.2215688228607178,1.0021013021469116,9.990134417124586e-05
230,phase1_neck_stability,2.3999927043914795,0.020629003643989563,0.018374493345618248,7.868532214683199e-14,1.7891888618469238,1.2208446264266968,1.0021010637283325,9.990134417124586e-05
240,phase1_neck_stability,2.399974822998047,0.019517600536346436,0.017356902360916138,8.152332975353005e-14,1.7891888618469238,1.220889687538147,1.0021010637283325,9.990134417124586e-05
250,phase1_neck_stability,2.399362564086914,0.020565757527947426,0.01841169409453869,7.947288660492546e-14,1.7891889810562134,1.2195851802825928,1.002100944519043,9.990134417124586e-05
260,phase1_neck_stability,2.39988374710083,0.018915360793471336,0.01703925058245659,8.049810817922776e-14,1.7891892194747925,1.2207411527633667,1.0021007061004639,9.990134417124586e-05
270,phase1_neck_stability,2.39927077293396,0.018865088000893593,0.016832321882247925,8.017198016574412e-14,1.7891887426376343,1.21952486038208,1.002101182937622,9.990134417124586e-05
280,phase1_neck_stability,2.3984873294830322,0.021408027037978172,0.0188515093177557,7.844072613671926e-14,1.7891885042190552,1.21778404712677,1.0021014213562012,9.990134417124586e-05
290,phase1_neck_stability,2.3996529579162598,0.01980569213628769,0.01744326949119568,7.741030039198904e-14,1.7891889810562134,1.2202314138412476,1.002100944519043,9.990134417124586e-05
300,phase1_neck_stability,2.3989436626434326,0.02075301855802536,0.01831693947315216,7.84754206062388e-14,1.7891889810562134,1.2187429666519165,1.002100944519043,9.977885134856072e-05
310,phase1_neck_stability,2.4005069732666016,0.01921672374010086,0.017015039920806885,8.103066828635264e-14,1.7891888618469238,1.221977710723877,1.0021010637283325,9.977885134856072e-05
320,phase1_neck_stability,2.3987059593200684,0.019388647750020027,0.01726318895816803,8.019973574135975e-14,1.7891883850097656,1.2183613777160645,1.0021015405654907,9.977885134856072e-05
330,phase1_neck_stability,2.399751663208008,0.018790099769830704,0.01674516499042511,8.03974942176211e-14,1.7891885042190552,1.2204926013946533,1.0021014213562012,9.977885134856072e-05
