sample_id,det_g,min_eig,max_eig,x0,x1,x2,x3,x4,x5,x6
0,2.031118631362915,1.0785075426101685,1.141145944595337,-0.08756107091903687,-0.014851748943328857,0.7514796257019043,0.8916879892349243,-0.9350968599319458,-0.8323764801025391,-0.025836825370788574
1,2.0313096046447754,1.0785024166107178,1.1411683559417725,0.1404423713684082,0.21051537990570068,-0.6162060499191284,-0.9659455418586731,0.006857156753540039,-0.02697855234146118,0.5414706468582153
2,2.0312716960906982,1.078527569770813,1.1411681175231934,0.4945312738418579,0.04371809959411621,-0.8744651079177856,0.7583757638931274,0.34155142307281494,-0.511961817741394,0.13837337493896484
3,2.031226634979248,1.078515648841858,1.141128659248352,-0.399800181388855,0.905363917350769,-0.1307247281074524,0.24039852619171143,-0.42860329151153564,-0.08452415466308594,0.5834330320358276
4,2.031280755996704,1.0785319805145264,1.1411651372909546,-0.5003379583358765,0.9903429746627808,0.5446704626083374,-0.5907182097434998,-0.26788389682769775,0.6874707937240601,-0.13491475582122803
5,2.031320571899414,1.0785183906555176,1.1412111520767212,0.8731355667114258,-0.3620080351829529,-0.7828569412231445,0.5692858695983887,-0.661999523639679,0.6220196485519409,-0.8213297128677368
6,2.0311968326568604,1.0784929990768433,1.1411468982696533,-0.9298802018165588,0.07537424564361572,0.9005724191665649,-0.42511528730392456,-0.9827399253845215,-0.3356303572654724,-0.6809402704238892
7,2.0312411785125732,1.078528642654419,1.1411426067352295,0.37401282787323,0.3515688180923462,0.7958767414093018,0.19929265975952148,0.3711893558502197,-0.3840711712837219,-0.7538588047027588
8,2.0312182903289795,1.078563928604126,1.141162633895874,0.61841881275177,0.5321135520935059,0.8001927137374878,-0.7369704246520996,0.9792407751083374,0.8949146270751953,-0.5882548689842224
9,2.0312681198120117,1.0785484313964844,1.1411396265029907,0.335849404335022,-0.4902629852294922,-0.6455198526382446,-0.2544221878051758,0.5616753101348877,-0.5711631774902344,-0.7785245180130005
10,2.0312612056732178,1.0785294771194458,1.1411763429641724,0.0050220489501953125,0.9500380754470825,0.801935076713562,0.8538321256637573,-0.5541852712631226,0.4548931121826172,-0.36301612854003906
11,2.0311198234558105,1.0785701274871826,1.1411511898040771,0.04407799243927002,-0.443159282207489,-0.3446817994117737,0.029060840606689453,0.8666058778762817,-0.25489526987075806,-0.40317225456237793
12,2.031374216079712,1.0785143375396729,1.1410973072052002,0.2944376468658447,-0.7447454333305359,-0.572721004486084,-0.8695886731147766,0.4566882848739624,0.6436331272125244,0.2178783416748047
13,2.0312728881835938,1.0785043239593506,1.1411374807357788,-0.11680078506469727,-0.03381162881851196,-0.024113357067108154,-0.011651754379272461,-0.7217793464660645,-0.7821875810623169,-0.750369668006897
14,2.031280755996704,1.078504204750061,1.141156554222107,-0.9889879822731018,-0.0927349328994751,0.6389217376708984,-0.5579469203948975,-0.46939945220947266,-0.4907248020172119,0.4999178647994995
15,2.0311460494995117,1.0784963369369507,1.141143560409546,-0.08934825658798218,0.2892240285873413,0.05375361442565918,-0.39863258600234985,-0.9790815114974976,-0.6461853384971619,0.12982726097106934
16,2.0312089920043945,1.0785552263259888,1.141144037246704,0.792206883430481,-0.4524632692337036,0.674616813659668,-0.9670466184616089,-0.7649149894714355,-0.04941368103027344,0.062004685401916504
17,2.031151294708252,1.0784945487976074,1.1411246061325073,0.06195545196533203,0.47534775733947754,-0.9021803736686707,-0.620477557182312,-0.9818074703216553,0.3848879337310791,0.41100800037384033
18,2.0312302112579346,1.078566312789917,1.1410984992980957,0.5624154806137085,-0.8521352410316467,0.7654880285263062,-0.8850112557411194,0.8434543609619141,0.3941774368286133,-0.9691725969314575
19,2.0313093662261963,1.0785152912139893,1.1411691904067993,-0.12811779975891113,0.6412639617919922,-0.8158105611801147,0.1638789176940918,0.1865757703781128,-0.29794996976852417,0.4073561429977417
20,2.031163454055786,1.0785207748413086,1.141193151473999,-0.3781912326812744,-0.6604586243629456,-0.838015079498291,-0.7158870697021484,0.6136263608932495,-0.06568622589111328,-0.9457626938819885
21,2.03135347366333,1.0785585641860962,1.1411386728286743,0.6310116052627563,-0.7101534008979797,-0.4414958953857422,0.5183151960372925,0.6358556747436523,0.6890319585800171,0.03298795223236084
22,2.031245231628418,1.0784945487976074,1.1412004232406616,0.2984304428100586,-0.936217188835144,-0.26090002059936523,-0.8724395036697388,0.14750456809997559,0.27486443519592285,-0.16608917713165283
