epoch,phase,lr,loss_total,loss_torsion,loss_d_phi,loss_d_phi_dual,loss_volume,loss_ortho,loss_det,det_g_mean,det_gram
0,phase1,0.0,82.75869750976562,827.11083984375,22.30112075805664,804.8096923828125,1.968463586576874e-12,0.047618746757507324,0.0,0.999998927116394,0.0
1,phase1,2.0000000000000002e-07,83.50311279296875,834.5549926757812,22.010395050048828,812.5446166992188,2.195176332375759e-12,0.04761875048279762,0.0,0.9999988675117493,0.0
2,phase1,4.0000000000000003e-07,82.29913330078125,822.51513671875,22.06494140625,800.4501953125,2.0575242898335233e-12,0.04761875048279762,0.0,0.999998927116394,0.0
3,phase1,6.000000000000001e-07,78.33262634277344,782.85009765625,21.915502548217773,760.9345703125,2.4120341141076196e-12,0.047618746757507324,0.0,0.9999988675117493,0.0
4,phase1,8.000000000000001e-07,81.64802551269531,816.0040893554688,21.86073112487793,794.1433715820312,1.7841284005726266e-12,0.04761875048279762,0.0,0.999998927116394,0.0
5,phase1,1.0000000000000002e-06,76.58316040039062,765.35546875,22.073654174804688,743.2817993164062,1.869797719433741e-12,0.04761875048279762,0.0,0.999998927116394,0.0
6,phase1,1.2000000000000002e-06,75.31600952148438,752.6838989257812,22.168058395385742,730.515869140625,2.0386747845435593e-12,0.04761875048279762,0.0,0.999998927116394,0.0
7,phase1,1.4000000000000001e-06,71.66459655761719,716.1697998046875,21.691402435302734,694.4783935546875,1.996824580685619e-12,0.04761875420808792,0.0,0.999998927116394,0.0
8,phase1,1.6000000000000001e-06,67.86244201660156,678.1482543945312,21.761550903320312,656.38671875,1.981628403036062e-12,0.04761875048279762,0.0,0.999998927116394,0.0
9,phase1,1.8e-06,64.74842071533203,647.008056640625,21.71302604675293,625.2950439453125,2.117013161995196e-12,0.04761875420808792,0.0,0.9999988675117493,0.0
10,phase1,2.0000000000000003e-06,63.34407424926758,632.9645385742188,22.181364059448242,610.783203125,2.161602494221704e-12,0.04761875048279762,0.0,0.999998927116394,0.0
11,phase1,2.2e-06,58.55926513671875,585.116455078125,21.506711959838867,563.6097412109375,1.930160892227306e-12,0.04761875048279762,0.0,0.999998927116394,0.0
12,phase1,2.4000000000000003e-06,55.679115295410156,556.31494140625,22.00339126586914,534.3115234375,2.096069845469728e-12,0.04761875048279762,0.0,0.999998927116394,0.0
13,phase1,2.6e-06,50.23086166381836,501.8324279785156,21.93356704711914,479.89886474609375,1.8701498682993645e-12,0.04761875420808792,0.0,0.999998927116394,0.0
14,phase1,2.8000000000000003e-06,47.204795837402344,471.57177734375,21.716127395629883,449.85565185546875,1.876380995025073e-12,0.04761875420808792,0.0,0.999998927116394,0.0
15,phase1,3e-06,42.831932067871094,427.8431091308594,21.62488555908203,406.2182312011719,1.9784330423933127e-12,0.04761875048279762,0.0,0.999998927116394,0.0
16,phase1,3.2000000000000003e-06,40.70489501953125,406.57275390625,21.64748764038086,384.9252624511719,1.8581230304404173e-12,0.04761875420808792,0.0,0.999998927116394,0.0
