sigma,s,alpha,det_mean,det_std,kappa_T,g_posdef,phi_norm_mean,phi_norm_std,y_rank,m2_over_m3,m1_over_m3,stable,notes
0.8,0.8,-0.1,2.0312499999974922,5.373026168672119,0.675322251432438,True,9.19058613009786,10.591844595739339,,,,False,kappa=0.6753; norm=9.1906
0.8,0.8,0.1,2.0312499999974922,4.618294606625427,1.1577312532304318,True,13.865928079097824,12.638800424339964,,,,False,kappa=1.1577; norm=13.8659
0.8,1.2,-0.1,2.0312499999974922,6.651731777344891,2.993901752758211,True,27.67822114930269,34.7172136651746,,,,False,kappa=2.9939; norm=27.6782
0.8,1.2,0.1,2.0312499999974927,5.038379066184675,5.188606650346486,True,43.02673193179009,39.34953954389016,,,,False,kappa=5.1886; norm=43.0267
1.2,0.8,-0.1,2.0312499999974922,6.651731777344891,2.993901752758211,True,27.67822114930269,34.7172136651746,,,,False,kappa=2.9939; norm=27.6782
1.2,0.8,0.1,2.0312499999974927,5.038379066184675,5.188606650346486,True,43.02673193179009,39.34953954389016,,,,False,kappa=5.1886; norm=43.0267
1.2,1.2,-0.1,2.0312499999974913,7.06654826471624,11.414283183275135,True,86.89637596554729,104.62329865432115,,,,False,kappa=11.4143; norm=86.8964
1.2,1.2,0.1,2.0312499999974944,5.402106438537693,21.438370263553953,True,157.0375998592458,165.97934831171753,,,,False,kappa=21.4384; norm=157.0376
