phase,epoch,total,dphi,dpsi,det,positivity,neck_match,acyl,harmonicity,eig_floor,global_epoch
1,0,6306812.0,1.4577258351234197e-17,12613624.0,0.013518491759896278,0.0,0.011278410442173481,9859.3173828125,0.0,0.0,0
1,1,2587878.75,1.4577258351234197e-17,5175757.0,0.45041170716285706,0.0,0.006218352355062962,4264.10400390625,0.0,0.0,1
1,2,1155229.375,1.4577258351234197e-17,2310456.5,2.308717727661133,0.0,0.003159182844683528,1933.8377685546875,0.0,0.0,2
1,3,460924.46875,1.4577258351234197e-17,921845.4375,3.4925453662872314,0.0,0.001358336303383112,773.8528442382812,0.0,0.0,3
1,4,167895.71875,1.4577258351234197e-17,335787.625,3.8161349296569824,0.0,0.0005066590383648872,276.6572265625,0.0,0.0,4
1,5,58398.33984375,1.4577258351234197e-17,116792.7890625,3.8887293338775635,0.0,0.0001842094206949696,96.82848358154297,0.0,0.0,5
1,6,29205.173828125,1.4577258351234197e-17,58406.40234375,3.945821762084961,0.0,0.00010751871013781056,50.88606643676758,0.0,0.0,6
1,7,19701.85546875,1.4577258351234197e-17,39399.72265625,3.98917293548584,0.0,8.670111128594726e-05,35.93378448486328,0.0,0.0,7
1,8,11876.15234375,1.4577258351234197e-17,23748.306640625,3.9978933334350586,0.0,5.65943555557169e-05,22.133520126342773,0.0,0.0,8
1,9,6553.69775390625,1.4577258351234197e-17,13103.396484375,3.9993720054626465,0.0,3.34780452249106e-05,12.968620300292969,0.0,0.0,9
1,10,3236.636474609375,1.4577258351234197e-17,6469.2734375,3.9996635913848877,0.0,1.710237847873941e-05,6.894596576690674,0.0,0.0,10
1,11,1456.4832763671875,1.4577258351234197e-17,2908.966796875,3.999715805053711,0.0,7.783662113070022e-06,3.9459779262542725,0.0,0.0,11
1,12,855.6987915039062,1.4577258351234197e-17,1707.3978271484375,3.9997057914733887,0.0,4.263237315171864e-06,3.0303046703338623,0.0,0.0,12
1,13,556.3360595703125,1.457685137837282e-17,1108.6724853515625,3.9996895790100098,0.0,2.957020342364558e-06,2.6495933532714844,0.0,0.0,13
1,14,381.7091064453125,1.4577258351234197e-17,759.4185791015625,3.9996585845947266,0.0,2.348223233639146e-06,2.3916332721710205,0.0,0.0,14
1,15,398.9006652832031,1.4577258351234197e-17,793.8016967773438,3.999629020690918,0.0,2.367542265346856e-06,2.416125774383545,0.0,0.0,15
1,16,369.4996643066406,1.4577258351234197e-17,734.9996948242188,3.999608278274536,0.0,1.950952309925924e-06,2.3779568672180176,0.0,0.0,16
1,17,230.59014892578125,1.4577258351234197e-17,457.1806945800781,3.999598503112793,0.0,1.6228510730798007e-06,2.172799587249756,0.0,0.0,17
1,18,242.2529754638672,1.4577258351234197e-17,480.5063171386719,3.9996390342712402,0.0,1.885153096736758e-06,2.179011106491089,0.0,0.0,18
1,19,210.2591094970703,1.4577258351234197e-17,416.5185852050781,3.9996426105499268,0.0,1.6437072645203443e-06,2.134993553161621,0.0,0.0,19
1,20,156.1411590576172,1.4577258351234197e-17,308.28271484375,3.9995927810668945,0.0,1.076274088518403e-06,2.057006359100342,0.0,0.0,20
1,21,124.64497375488281,1.4577258351234197e-17,245.29037475585938,3.9995741844177246,0.0,7.85955762694357e-07,2.0108256340026855,0.0,0.0,21
1,22,105.98624420166016,1.457685137837282e-17,207.97293090820312,3.999558448791504,0.0,7.143813149923517e-07,1.9887112379074097,0.0,0.0,22
1,23,86.54785919189453,1.4577258351234197e-17,169.09617614746094,3.999544620513916,0.0,5.490692842613498e-07,1.9606846570968628,0.0,0.0,23
1,24,68.61727142333984,1.4577258351234197e-17,133.23500061035156,3.9995391368865967,0.0,4.570948135551589e-07,1.9194564819335938,0.0,0.0,24
1,25,68.22344207763672,1.4577258351234197e-17,132.44737243652344,3.9995086193084717,0.0,4.873486432188656e-07,1.9310815334320068,0.0,0.0,25
1,26,57.598514556884766,1.4577258351234197e-17,111.19754791259766,3.999479293823242,0.0,4.0116267996381794e-07,1.8970966339111328,0.0,0.0,26
1,27,48.8420295715332,1.4577258351234197e-17,93.68460845947266,3.999453067779541,0.0,3.2514529380023305e-07,1.8871442079544067,0.0,0.0,27
1,28,47.96092224121094,1.4577258351234197e-17,91.92241668701172,3.9994306564331055,0.0,3.2664135574123065e-07,1.8988234996795654,0.0,0.0,28
1,29,40.669254302978516,1.4577258351234197e-17,77.33912658691406,3.9993820190429688,0.0,3.3679935995678534e-07,1.8749699592590332,0.0,0.0,29
1,30,27.732784271240234,1.4577258351234197e-17,51.466217041015625,3.9993526935577393,0.0,2.422109730559896e-07,1.8628729581832886,0.0,0.0,30
1,31,32.608970642089844,1.4577258351234197e-17,61.218631744384766,3.9993090629577637,0.0,2.1269430305892456e-07,1.8656617403030396,0.0,0.0,31
1,32,29.331209182739258,1.4577258351234197e-17,54.66315460205078,3.9992620944976807,0.0,2.0764232999681553e-07,1.8566111326217651,0.0,0.0,32
1,33,21.54245948791504,1.457685137837282e-17,39.08571243286133,3.999206781387329,0.0,1.20293336181021e-07,1.8529335260391235,0.0,0.0,33
1,34,24.065147399902344,1.457685137837282e-17,44.131168365478516,3.9991273880004883,0.0,1.6810507474929182e-07,1.8525996208190918,0.0,0.0,34
1,35,25.818801879882812,1.4577258351234197e-17,47.638545989990234,3.999058246612549,0.0,2.0691494739821792e-07,1.8504149913787842,0.0,0.0,35
1,36,13.792363166809082,1.4576039087011294e-17,23.585737228393555,3.9989893436431885,0.0,8.380001048635677e-08,1.8278576135635376,0.0,0.0,36
1,37,15.849955558776855,1.457685137837282e-17,27.701045989990234,3.9988651275634766,0.0,9.185073679418565e-08,1.8428715467453003,0.0,0.0,37
1,38,13.289817810058594,1.4577258351234197e-17,22.58085823059082,3.9987776279449463,0.0,6.462320101263686e-08,1.831244945526123,0.0,0.0,38
1,39,11.837340354919434,1.457644605987267e-17,19.6760311126709,3.9986491203308105,0.0,6.276931685533782e-08,1.8271218538284302,0.0,0.0,39
1,40,12.710474967956543,1.457685137837282e-17,21.422433853149414,3.99851655960083,0.0,8.707304033350738e-08,1.8356447219848633,0.0,0.0,40
1,41,8.638032913208008,1.457685137837282e-17,13.277729034423828,3.9983372688293457,0.0,4.146682286432224e-08,1.821709394454956,0.0,0.0,41
1,42,13.922991752624512,1.457644605987267e-17,23.84783363342285,3.9981496334075928,0.0,6.500057025959904e-08,1.8227784633636475,0.0,0.0,42
1,43,12.890100479125977,1.457685137837282e-17,21.782289505004883,3.9979114532470703,0.0,6.475006131267946e-08,1.8332409858703613,0.0,0.0,43
1,44,7.481321334838867,1.457685137837282e-17,10.96495246887207,3.9976906776428223,0.0,3.058774922237717e-08,1.8240257501602173,0.0,0.0,44
1,45,8.242725372314453,1.457644605987267e-17,12.488114356994629,3.9973368644714355,0.0,4.0717910820831094e-08,1.8244130611419678,0.0,0.0,45
1,46,6.778903961181641,1.457685137837282e-17,9.56079387664795,3.997014284133911,0.0,2.5074974985273002e-08,1.8267602920532227,0.0,0.0,46
1,47,6.334598064422607,1.4577258351234197e-17,8.672566413879395,3.996629476547241,0.0,2.520003228312362e-08,1.8240488767623901,0.0,0.0,47
1,48,7.389841079711914,1.4577258351234197e-17,10.783407211303711,3.996274471282959,0.0,2.8162737919501524e-08,1.817437767982483,0.0,0.0,48
1,49,5.291482448577881,1.4575633768511143e-17,6.587165355682373,3.9957995414733887,0.0,1.6125950352829932e-08,1.8099404573440552,0.0,0.0,49
1,50,6.171082496643066,1.4575633768511143e-17,8.346903800964355,3.9952616691589355,0.0,2.335806215114644e-08,1.817642331123352,0.0,0.0,50
1,51,6.277907371520996,1.4576039087011294e-17,8.561199188232422,3.9946157932281494,0.0,2.7877808506104884e-08,1.8165462017059326,0.0,0.0,51
1,52,4.548433303833008,1.457644605987267e-17,5.103000640869141,3.993865489959717,0.0,1.095314594579122e-08,1.8183666467666626,0.0,0.0,52
1,53,4.697939872741699,1.4575226795649767e-17,5.402754306793213,3.9931249618530273,0.0,1.4204116105531739e-08,1.8104950189590454,0.0,0.0,53
1,54,4.29011869430542,1.4575633768511143e-17,4.588132381439209,3.9921047687530518,0.0,1.1419142076363187e-08,1.821359395980835,0.0,0.0,54
1,55,4.589177131652832,1.4576039087011294e-17,5.187183856964111,3.991170883178711,0.0,1.3739945181612256e-08,1.8227239847183228,0.0,0.0,55
1,56,3.6850922107696533,1.457685137837282e-17,3.380312919616699,3.9898715019226074,0.0,9.492648445075247e-09,1.8245906829833984,0.0,0.0,56
1,57,6.079225540161133,1.457685137837282e-17,8.169686317443848,3.988764524459839,0.0,2.0213146711967056e-08,1.828995704650879,0.0,0.0,57
1,58,4.863401889801025,1.457644605987267e-17,5.739733695983887,3.987070083618164,0.0,1.549555861402041e-08,1.8211545944213867,0.0,0.0,58
1,59,4.37162446975708,1.457685137837282e-17,4.757823944091797,3.9854249954223633,0.0,1.0199117994602602e-08,1.818772792816162,0.0,0.0,59
1,60,5.81445837020874,1.4575226795649767e-17,7.645474910736084,3.9834418296813965,0.0,2.4961936517797767e-08,1.8181055784225464,0.0,0.0,60
1,61,4.563422203063965,1.457644605987267e-17,5.145588397979736,3.9812560081481934,0.0,1.4037579987302706e-08,1.8137035369873047,0.0,0.0,61
1,62,4.108871936798096,1.457685137837282e-17,4.238589763641357,3.979154348373413,0.0,1.1300211433251661e-08,1.8164069652557373,0.0,0.0,62
1,63,4.846413612365723,1.4576039087011294e-17,5.717173099517822,3.9756546020507812,0.0,1.3771908946580425e-08,1.81949782371521,0.0,0.0,63
1,64,3.7554283142089844,1.4576039087011294e-17,3.538020372390747,3.9728360176086426,0.0,9.105657561292446e-09,1.8180222511291504,0.0,0.0,64
1,65,4.625942230224609,1.457481982278839e-17,5.283318519592285,3.9685659408569336,0.0,1.5190499524919687e-08,1.812919020652771,0.0,0.0,65
1,66,4.142111301422119,1.4576039087011294e-17,4.3200364112854,3.964186191558838,0.0,1.2085481948531651e-08,1.8117132186889648,0.0,0.0,66
1,67,4.335857391357422,1.457685137837282e-17,4.711945056915283,3.9597692489624023,0.0,1.1242179631665294e-08,1.8174359798431396,0.0,0.0,67
1,68,3.298336982727051,1.4575633768511143e-17,2.642822504043579,3.9538512229919434,0.0,6.3530491978269765e-09,1.8166769742965698,0.0,0.0,68
1,69,9.339051246643066,1.457685137837282e-17,14.729687690734863,3.948415517807007,0.0,3.4216039779266794e-08,1.8300700187683105,0.0,0.0,69
1,70,7.969099998474121,1.457644605987267e-17,11.995064735412598,3.9431352615356445,0.0,3.481519428305546e-08,1.8240926265716553,0.0,0.0,70
1,71,5.709603786468506,1.4576039087011294e-17,7.484192371368408,3.9350154399871826,0.0,2.024023615376791e-08,1.8188824653625488,0.0,0.0,71
1,72,5.40761137008667,1.457685137837282e-17,6.889135360717773,3.9260873794555664,0.0,1.8381818733814725e-08,1.8109490871429443,0.0,0.0,72
1,73,5.647992134094238,1.4575633768511143e-17,7.37939977645874,3.9165849685668945,0.0,1.937461391321449e-08,1.8162510395050049,0.0,0.0,73
1,74,3.9715442657470703,1.457685137837282e-17,4.038493633270264,3.904594659805298,0.0,1.1864331739275258e-08,1.8186891078948975,0.0,0.0,74
1,75,3.5026156902313232,1.457481982278839e-17,3.112220287322998,3.8930110931396484,0.0,8.721695365920823e-09,1.8176276683807373,0.0,0.0,75
1,76,3.6946306228637695,1.4576039087011294e-17,3.5126967430114746,3.8765645027160645,0.0,1.1212976325225554e-08,1.8219151496887207,0.0,0.0,76
1,77,4.274159908294678,1.4576039087011294e-17,4.688339710235596,3.859980344772339,0.0,1.3873763471394795e-08,1.8131306171417236,0.0,0.0,77
1,78,2.5242667198181152,1.457400587706564e-17,1.2093141078948975,3.839219093322754,0.0,3.696898565053175e-09,1.817814588546753,0.0,0.0,78
1,79,4.196828842163086,1.457441119556579e-17,4.5690836906433105,3.8245744705200195,0.0,1.461198717578327e-08,1.8174790143966675,0.0,0.0,79
1,80,3.9860410690307617,1.4575226795649767e-17,4.171160697937012,3.800921678543091,0.0,1.2853730524398088e-08,1.8134832382202148,0.0,0.0,80
1,81,3.0211052894592285,1.4575226795649767e-17,2.2701001167297363,3.7721102237701416,0.0,7.435615234641091e-09,1.810257077217102,0.0,0.0,81
1,82,3.42575740814209,1.457644605987267e-17,3.1029717922210693,3.7485432624816895,0.0,9.298068093244183e-09,1.8200011253356934,0.0,0.0,82
1,83,3.664947509765625,1.4575633768511143e-17,3.616248607635498,3.713646173477173,0.0,1.1234329910791985e-08,1.8206429481506348,0.0,0.0,83
1,84,2.833212375640869,1.457400587706564e-17,1.9909402132034302,3.6754846572875977,0.0,6.434584864933868e-09,1.8106540441513062,0.0,0.0,84
1,85,2.907872200012207,1.4573598904204263e-17,2.1790478229522705,3.6366965770721436,0.0,6.752894687878097e-09,1.821447491645813,0.0,0.0,85
1,86,3.378845453262329,1.4574412849927015e-17,3.1668200492858887,3.5908708572387695,0.0,9.657459720813222e-09,1.811674952507019,0.0,0.0,86
1,87,2.370026111602783,1.4575226795649767e-17,1.2131589651107788,3.526893377304077,0.0,3.4979779073296413e-09,1.815010905265808,0.0,0.0,87
1,88,3.476790189743042,1.4575633768511143e-17,3.4724323749542236,3.4811480045318604,0.0,1.12894920079043e-08,1.8205149173736572,0.0,0.0,88
1,89,3.6714258193969727,1.4575633768511143e-17,3.915245771408081,3.4276061058044434,0.0,1.3315218261311657e-08,1.814352035522461,0.0,0.0,89
1,90,2.9982259273529053,1.4575633768511143e-17,2.641632318496704,3.3548195362091064,0.0,8.895051806234733e-09,1.824229121208191,0.0,0.0,90
1,91,2.72853946685791,1.457481982278839e-17,2.2183265686035156,3.2387523651123047,0.0,6.900823024125202e-09,1.813145637512207,0.0,0.0,91
1,92,2.446605682373047,1.4574412849927015e-17,1.7550116777420044,3.138199806213379,0.0,7.207833441214007e-09,1.8190770149230957,0.0,0.0,92
