epoch,total_loss,ricci_loss,g2_loss,reg_loss,phase_name
0,0.20971056818962097,0.20084962248802185,0.0,0.0886094868183136,Ricci-flat approximation
1,0.24819950759410858,0.23943832516670227,0.0,0.08761176466941833,Ricci-flat approximation
2,0.1758534163236618,0.16726896166801453,0.0,0.08584459871053696,Ricci-flat approximation
3,0.09754306077957153,0.08903656899929047,0.0,0.08506491780281067,Ricci-flat approximation
4,0.05921000987291336,0.05088021233677864,0.0,0.0832979679107666,Ricci-flat approximation
5,0.04921630769968033,0.04100143164396286,0.0,0.08214877545833588,Ricci-flat approximation
6,0.0519026555120945,0.04403666406869888,0.0,0.07865992188453674,Ricci-flat approximation
7,0.04516080394387245,0.03734384849667549,0.0,0.0781695544719696,Ricci-flat approximation
8,0.03284361958503723,0.025218723341822624,0.0,0.07624895870685577,Ricci-flat approximation
9,0.027707021683454514,0.020139025524258614,0.0,0.0756799578666687,Ricci-flat approximation
10,0.025792550295591354,0.018627941608428955,0.0,0.07164608687162399,Ricci-flat approximation
11,0.024460148066282272,0.01732809841632843,0.0,0.07132050395011902,Ricci-flat approximation
12,0.021360252052545547,0.014318462461233139,0.0,0.07041789591312408,Ricci-flat approximation
13,0.017858844250440598,0.011165361851453781,0.0,0.06693482398986816,Ricci-flat approximation
14,0.018374856561422348,0.011710776016116142,0.0,0.06664080917835236,Ricci-flat approximation
15,0.014906692318618298,0.00864863209426403,0.0,0.06258060038089752,Ricci-flat approximation
16,0.013228785246610641,0.007028309628367424,0.0,0.06200475990772247,Ricci-flat approximation
17,0.013868624344468117,0.007983662188053131,0.0,0.058849625289440155,Ricci-flat approximation
18,0.013846956193447113,0.007986925542354584,0.0,0.05860030651092529,Ricci-flat approximation
19,0.011171928606927395,0.005804111249744892,0.0,0.05367817357182503,Ricci-flat approximation
20,0.01178575400263071,0.006399189122021198,0.0,0.05386564880609512,Ricci-flat approximation
21,0.010585447773337364,0.005408239085227251,0.0,0.051772091537714005,Ricci-flat approximation
22,0.012379010207951069,0.007308016996830702,0.0,0.050709933042526245,Ricci-flat approximation
23,0.009078358300030231,0.004231740720570087,0.0,0.04846617579460144,Ricci-flat approximation
24,0.012592308223247528,0.008045997470617294,0.0,0.04546310007572174,Ricci-flat approximation
25,0.011310768313705921,0.006820087321102619,0.0,0.04490680992603302,Ricci-flat approximation
26,0.01138879731297493,0.007026858627796173,0.0,0.04361938685178757,Ricci-flat approximation
27,0.012062118388712406,0.00785992480814457,0.0,0.04202193394303322,Ricci-flat approximation
28,0.00800306722521782,0.0039470139890909195,0.0,0.040560532361269,Ricci-flat approximation
29,0.009577898308634758,0.0054774777963757515,0.0,0.04100419953465462,Ricci-flat approximation
30,0.007723617367446423,0.003813538234680891,0.0,0.03910078853368759,Ricci-flat approximation
31,0.007733535021543503,0.004026015289127827,0.0,0.03707519546151161,Ricci-flat approximation
32,0.007869336754083633,0.004220559261739254,0.0,0.036487776786088943,Ricci-flat approximation
33,0.006971833296120167,0.0034612894523888826,0.0,0.03510544076561928,Ricci-flat approximation
34,0.00720871239900589,0.0037825526669621468,0.0,0.03426159918308258,Ricci-flat approximation
35,0.005536123178899288,0.002181245945394039,0.0,0.03354877233505249,Ricci-flat approximation
36,0.00784158892929554,0.004520666319876909,0.0,0.03320923075079918,Ricci-flat approximation
37,0.0072195325046777725,0.003983289934694767,0.0,0.032362427562475204,Ricci-flat approximation
38,0.006223184987902641,0.0030405353754758835,0.0,0.03182649612426758,Ricci-flat approximation
39,0.006978924386203289,0.003847516141831875,0.0,0.03131408244371414,Ricci-flat approximation
