Phase,Epoch,Torsion_Loss,det_Gram,det_g,LR,Loss_Total,Loss_Volume,Loss_Ortho
Phase 1 End,2000,1.7555004205860314e-06,0.84306401014328,0.9999998807907104,0.0001,5.376738045015372e-05,1.0776622649810719e-13,5.359182978281751e-05
Phase 2 End,5000,1.2071480171016447e-07,0.9533081650733948,0.9999998807907104,0.0001,1.8354938219999894e-05,1.1300162194860519e-13,3.622701842687093e-05
Phase 3 End,8000,1.8619798411445565e-11,0.9224264621734619,0.9999998807907104,5.0016666666666665e-05,6.107473382144235e-06,1.0437310737909655e-13,2.0357932953629643e-05
Phase 4 End,10000,1.32703908625742e-11,1.1225404739379883,0.9999998807907104,1.0019999999999996e-05,6.632012627960648e-06,1.0829184771132816e-13,1.326394522038754e-05
