observable,formula,experimental,theoretical,deviation_pct,prime_factors,category
D_H,(3^4 × 5^4) / (3^3 × 13^3),0.85622,0.8534365043240782,0.3250911770247988,"num: 3^4 × 5^4, den: 3^3 × 13^3",prime_ratio
D_H,(11^1 × 19^1) / (5^1 × 7^2),0.85622,0.8530612244897959,0.368921014482732,"num: 11 × 19, den: 5 × 7^2",prime_ratio
D_H,(2^4 × 11^4) / (5^3 × 13^3),0.85622,0.8530031861629495,0.3756994507311818,"num: 2^4 × 11^4, den: 5^3 × 13^3",prime_ratio
D_H,(2^3 × 13^2) / (11^2 × 13^1),0.85622,0.859504132231405,0.3835617284582235,"num: 2^3 × 13^2, den: 11^2 × 13",prime_ratio
D_H,(2^3 × 13^3) / (11^2 × 13^2),0.85622,0.859504132231405,0.3835617284582235,"num: 2^3 × 13^3, den: 11^2 × 13^2",prime_ratio
D_H,(2^3 × 13^4) / (11^2 × 13^3),0.85622,0.859504132231405,0.3835617284582235,"num: 2^3 × 13^4, den: 11^2 × 13^3",prime_ratio
D_H,(2^4 × 13^1) / (2^1 × 11^2),0.85622,0.859504132231405,0.3835617284582235,"num: 2^4 × 13, den: 2 × 11^2",prime_ratio
D_H,(3^4 × 13^1) / (5^2 × 7^2),0.85622,0.8595918367346939,0.3938049490427552,"num: 3^4 × 13, den: 5^2 × 7^2",prime_ratio
D_H,(3^2 × 17^2) / (5^2 × 11^2),0.85622,0.8598347107438017,0.4221707906614781,"num: 3^2 × 17^2, den: 5^2 × 11^2",prime_ratio
D_H,(2^1 × 19^2) / (7^1 × 11^2),0.85622,0.8524203069657615,0.4437753187543433,"num: 2 × 19^2, den: 7 × 11^2",prime_ratio
D_H,(3^1 × 5^2) / (2^3 × 11^1),0.85622,0.8522727272727273,0.4610115072379398,"num: 3 × 5^2, den: 2^3 × 11",prime_ratio
D_H,(5^4 × 7^2) / (3^3 × 11^3),0.85622,0.8521857695411414,0.4711675105531912,"num: 5^4 × 7^2, den: 3^3 × 11^3",prime_ratio
D_H,(7^1 × 13^2) / (5^3 × 11^1),0.85622,0.8603636363636363,0.4839452901866751,"num: 7 × 13^2, den: 5^3 × 11",prime_ratio
D_H,(2^4 × 3^3) / (3^1 × 13^2),0.85622,0.8520710059171598,0.484571031141552,"num: 2^4 × 3^3, den: 3 × 13^2",prime_ratio
D_H,(2^4 × 3^4) / (3^2 × 13^2),0.85622,0.8520710059171598,0.484571031141552,"num: 2^4 × 3^4, den: 3^2 × 13^2",prime_ratio
D_H,(2^3 × 11^2) / (3^2 × 5^3),0.85622,0.8604444444444445,0.4933830609474755,"num: 2^3 × 11^2, den: 3^2 × 5^3",prime_ratio
D_H,(7^2 × 17^1) / (2^3 × 11^2),0.85622,0.8605371900826446,0.504215047843386,"num: 7^2 × 17, den: 2^3 × 11^2",prime_ratio
D_H,(5^3 × 11^2) / (2^3 × 13^3),0.85622,0.8605484751934456,0.5055330631666618,"num: 5^3 × 11^2, den: 2^3 × 13^3",prime_ratio
D_H,(3^1 × 17^3) / (11^3 × 13^1),0.85622,0.8518176038837196,0.5141664661279052,"num: 3 × 17^3, den: 11^3 × 13",prime_ratio
D_H,(3^3 × 17^1) / (7^2 × 11^1),0.85622,0.8515769944341373,0.5422678243748947,"num: 3^3 × 17, den: 7^2 × 11",prime_ratio
D_H,(3^1 × 19^3) / (11^1 × 13^3),0.85622,0.8514503248231059,0.557061873921899,"num: 3 × 19^3, den: 11 × 13^3",prime_ratio
D_H,(3^2 × 19^2) / (7^3 × 11^1),0.85622,0.8611184733633713,0.5721045249318337,"num: 3^2 × 19^2, den: 7^3 × 11",prime_ratio
D_H,(13^2 × 17^1) / (3^3 × 5^3),0.85622,0.8512592592592593,0.5793768821962475,"num: 13^2 × 17, den: 3^3 × 5^3",prime_ratio
D_H,(17^1 × 19^1) / (3^1 × 5^3),0.85622,0.8613333333333333,0.5971985393162158,"num: 17 × 19, den: 3 × 5^3",prime_ratio
D_H,(13^2 × 19^1) / (7^3 × 11^1),0.85622,0.8510469122714021,0.6041773993363767,"num: 13^2 × 19, den: 7^3 × 11",prime_ratio
D_H,(2^3 × 7^1) / (5^1 × 13^1),0.85622,0.8615384615384616,0.6211559574013227,"num: 2^3 × 7, den: 5 × 13",prime_ratio
D_H,(3^1 × 5^3) / (3^2 × 7^2),0.85622,0.8503401360544217,0.6867234992850281,"num: 3 × 5^3, den: 3^2 × 7^2",prime_ratio
D_H,(3^2 × 5^3) / (3^3 × 7^2),0.85622,0.8503401360544217,0.6867234992850281,"num: 3^2 × 5^3, den: 3^3 × 7^2",prime_ratio
D_H,(5^3 × 7^1) / (3^1 × 7^3),0.85622,0.8503401360544217,0.6867234992850281,"num: 5^3 × 7, den: 3 × 7^3",prime_ratio
D_H,(2^1 × 13^2) / (2^3 × 7^2),0.85622,0.8622448979591837,0.7036623717249896,"num: 2 × 13^2, den: 2^3 × 7^2",prime_ratio
D_H,(7^1 × 13^2) / (2^2 × 7^3),0.85622,0.8622448979591837,0.7036623717249896,"num: 7 × 13^2, den: 2^2 × 7^3",prime_ratio
D_H,(2^1 × 11^3) / (3^2 × 7^3),0.85622,0.862325882734046,0.713120779010768,"num: 2 × 11^3, den: 3^2 × 7^3",prime_ratio
