observable,formula,predicted,experimental,deviation_pct,uncertainty,complexity,n_params,log_likelihood,bic,aic,r2,r2_adj,p_value_raw,n_tests,p_value_corrected,quality_score,significance,source
m_d,delta_F / ζ(13),4.6686301032,4.6700000000,0.0293339793,,3,1,,,,0.9999999140,0.9999999115,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
n_s,ζ(13)/ζ(5),0.9645053950,0.9648000000,0.0305353471,,3,1,,,,0.9999999068,0.9999999041,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,(ζ(11)/ζ(15)) × delta_F,4.6714517503,4.6700000000,0.0310867297,,5,2,,,,0.9999999034,0.9999998977,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,(ζ(11)/ζ(17)) × delta_F,4.6714804507,4.6700000000,0.0317012998,,5,2,,,,0.9999998995,0.9999998936,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,(ζ(11)/ζ(19)) × delta_F,4.6714947859,4.6700000000,0.0320082644,,5,2,,,,0.9999998975,0.9999998915,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,delta_F / ζ(17),4.6691729986,4.6700000000,0.0177088091,,3,1,,,,0.9999999686,0.9999999677,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
m_d,delta_F / ζ(15),4.6691443124,4.6700000000,0.0183230757,,3,1,,,,0.9999999664,0.9999999655,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
n_s,ζ(15)/ζ(5),0.9643991747,0.9648000000,0.0415449058,,3,1,,,,0.9999998274,0.9999998225,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
n_s,ζ(17)/ζ(5),0.9643932497,0.9648000000,0.0421590258,,3,1,,,,0.9999998223,0.9999998172,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
n_s,ζ(19)/ζ(5),0.9643902903,0.9648000000,0.0424657628,,3,1,,,,0.9999998197,0.9999998145,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
n_s,ζ(21)/ζ(5),0.9643888142,0.9648000000,0.0426187572,,3,1,,,,0.9999998184,0.9999998132,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
lambda_H,(ζ(5)/ζ(7)) / rank_E8,0.1285427305,0.1286000000,0.0445330632,,6,3,,,,0.9999998017,0.9999997837,,740,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
Ω_DM,ζ(3)/ζ(9) / 10,0.1199650000,0.1200000000,0.0293720000,,5,2,,,,0.9999999137,0.9999999087,,740,1.0000000000,0.0000000000,not_significant,zeta_ratio
m_d/m_u,√5 × ζ(9)/ζ(5),2.1607670000,2.1620000000,0.0570480000,,5,2,,,,0.9999996746,0.9999996554,,1480,1.0000000000,0.0000000000,not_significant,zeta_ratio
Ω_DE,ζ(9)/ζ(5) / √2,0.6832940000,0.6847000000,0.2052870000,,5,2,,,,0.9999957857,0.9999955378,,740,1.0000000000,0.0000000000,not_significant,zeta_ratio
θ₁₂_rad,ζ(7)/ζ(21) / √3,0.5821620000,0.5836380000,0.2529430000,,5,2,,,,0.9999936020,0.9999932256,,740,1.0000000000,0.0000000000,not_significant,zeta_ratio
Q_Koide,ln(2) × ζ(21)/ζ(5),0.6684730000,0.6667000000,0.2658740000,,6,3,,,,0.9999929311,0.9999922885,,1480,1.0000000000,0.0000000000,not_significant,zeta_ratio
sin²θ_W,ζ(3)/ζ(5) / 5,0.2318500000,0.2312200000,0.2723350000,,5,2,,,,0.9999925834,0.9999921471,,740,1.0000000000,0.0000000000,not_significant,zeta_ratio
δ_CP_rad,4 × ζ(5)/ζ(3),3.4505110000,3.4382990000,0.3551980000,,5,2,,,,0.9999873834,0.9999866413,,1480,1.0000000000,0.0000000000,not_significant,zeta_ratio
θ₂₃,180/π × ζ(5)/ζ(3),49.4249350000,49.2000000000,0.4571840000,,7,3,,,,0.9999790983,0.9999771981,,1480,1.0000000000,0.0000000000,not_significant,zeta_ratio
θ₂₃_rad,ζ(5)/ζ(3),0.8626280000,0.8587020000,0.4571840000,,3,1,,,,0.9999790983,0.9999785011,,740,1.0000000000,0.0000000000,not_significant,zeta_ratio
m_d,(ζ(11)/ζ(21)) × delta_F,4.6715019361,4.6700000000,0.0321613729,,5,2,,,,0.9999998966,0.9999998905,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
Omega_DM,(ζ(5)/ζ(9)) × delta,0.2600860145,0.2600000000,0.0330825166,,4,2,,,,0.9999998906,0.9999998841,,1480,1.0000000000,0.0000000000,not_significant,odd_zeta_extended
D_H,ζ(3)/ζ(21) / √2,0.8499700000,0.8562200000,0.7300000000,,5,2,,,,0.9999467100,0.9999435753,,740,1.0000000000,0.0000000000,not_significant,zeta_ratio
α_s,ζ(21)/ζ(3) / 7,0.1188460000,0.1179000000,0.8021430000,,5,2,,,,0.9999356567,0.9999318718,,740,1.0000000000,0.0000000000,not_significant,zeta_ratio
θ₁₃_rad,ζ(5)/ζ(21) / 7,0.1481300000,0.1495750000,0.9657010000,,5,2,,,,0.9999067422,0.9999012564,,740,1.0000000000,0.0000000000,not_significant,zeta_ratio
θ_C_rad,ζ(3)/ζ(5) / 5,0.2318500000,0.2275910000,1.8712330000,,5,2,,,,0.9996498487,0.9996292516,,740,1.0000000000,0.0000000000,not_significant,zeta_ratio
alpha_s,sqrt(4.669202 × 2.502908) / 29,0.1178820000,0.1179000000,0.0157000000,,6,3,,,,0.9999999754,0.9999999731,,148,1.0000000000,0.0000000000,not_significant,feigenbaum
theta_13_CKM,sqrt(4.669202 × 2.502908) / 17,0.2010920000,0.2010000000,0.0458000000,,6,3,,,,0.9999997902,0.9999997712,,148,1.0000000000,0.0000000000,not_significant,feigenbaum
Q_Koide,4.669202 / 7,0.6670290000,0.6667000000,0.0493000000,,3,1,,,,0.9999997570,0.9999997500,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
theta_13,arctan(4.669202 / 31),8.5654710000,8.5700000000,0.0528000000,,5,2,,,,0.9999997212,0.9999997048,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
tan_theta_13,4.669202 / 31,0.1506190000,0.1507000000,0.0536000000,,3,1,,,,0.9999997127,0.9999997045,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
m_d_over_m_u,sqrt(4.669202),2.1608340000,2.1620000000,0.0540000000,,2,1,,,,0.9999997084,0.9999997001,,37,1.0000000000,0.0000000000,not_significant,feigenbaum
sin2_theta_W,(4.669202 + 2.502908) / 31,0.2313580000,0.2312200000,0.0598000000,,5,2,,,,0.9999996424,0.9999996214,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
