index,eigenvalue,cumulative,gap
0,1.396944522857666,1.396944522857666,0.05892765522003174
1,1.3380168676376343,2.73496150970459,0.06894803047180176
2,1.2690688371658325,4.004030227661133,0.020878195762634277
3,1.2481906414031982,5.25222110748291,0.07765579223632812
4,1.1705348491668701,6.422756195068359,0.02877211570739746
5,1.1417627334594727,7.564518928527832,0.026424646377563477
6,1.1153380870819092,8.67985725402832,0.02548813819885254
7,1.0898499488830566,9.769706726074219,0.0519556999206543
8,1.0378942489624023,10.807600975036621,0.021948695182800293
9,1.015945553779602,11.823546409606934,0.01895272731781006
10,0.996992826461792,12.820539474487305,0.0399935245513916
11,0.9569993019104004,13.777538299560547,0.05066293478012085
12,0.9063363671302795,14.68387508392334,0.030380070209503174
13,0.8759562969207764,15.559831619262695,0.006957411766052246
14,0.8689988851547241,16.428831100463867,0.03150510787963867
15,0.8374937772750854,17.266324996948242,0.022545814514160156
16,0.8149479627609253,18.08127212524414,0.03056490421295166
17,0.7843830585479736,18.86565589904785,0.05377906560897827
18,0.7306039929389954,19.59626007080078,0.02376645803451538
19,0.70683753490448,20.303096771240234,0.052570879459381104
20,0.6542666554450989,20.95736312866211,0.012155652046203613
21,0.6421110033988953,21.59947395324707,0.028016090393066406
22,0.6140949130058289,22.21356964111328,0.04911774396896362
23,0.5649771690368652,22.778547286987305,0.013270258903503418
24,0.5517069101333618,23.33025360107422,0.03571397066116333
25,0.5159929394721985,23.84624671936035,0.00431215763092041
26,0.5116807818412781,24.357927322387695,0.01653766632080078
27,0.4951431155204773,24.853071212768555,0.029195576906204224
28,0.46594753861427307,25.319019317626953,0.013285040855407715
29,0.45266249775886536,25.771682739257812,0.0361558198928833
30,0.41650667786598206,26.188188552856445,0.017711400985717773
31,0.3987952768802643,26.586984634399414,0.043105632066726685
32,0.3556896448135376,26.94267463684082,0.03772389888763428
33,0.3179657459259033,27.26064109802246,0.048035234212875366
34,0.26993051171302795,27.53057098388672,0.26993033289909363
35,1.735505463784648e-07,27.53057098388672,3.191331643392914e-09
36,1.7035921473507187e-07,27.53057098388672,4.252839858054358e-09
37,1.6610637487701752e-07,27.53057098388672,8.30965518616722e-09
38,1.577967196908503e-07,27.53057098388672,1.2555432249428122e-09
39,1.5654117646590748e-07,27.53057098388672,1.4439649476116756e-10
40,1.5639677997114632e-07,27.53057098388672,6.17177420281223e-10
41,1.557796025508651e-07,27.53057098388672,3.3512748132125125e-09
42,1.5242832773765258e-07,27.53057098388672,7.006576652202057e-09
43,1.4542175108545052e-07,27.53057098388672,1.963798013093765e-10
44,1.4522537128414115e-07,27.53057098388672,2.2221087192519917e-09
45,1.4300326256488916e-07,27.53057098388672,6.307416811068833e-09
46,1.3669584575382032e-07,27.53057098388672,7.14082659669657e-09
47,1.2955501915712375e-07,27.53057098388672,5.839240202476503e-11
48,1.29496626755099e-07,27.53057098388672,1.9655459482237347e-09
49,1.2753108080687525e-07,27.53057098388672,3.1583198278894997e-09
50,1.2437276097898575e-07,27.53057098388672,2.432898327242583e-11
51,1.2434843199571333e-07,27.53057098388672,1.1470575600469601e-09
52,1.2320137443566637e-07,27.53057098388672,3.8180303363333223e-10
53,1.2281957140203303e-07,27.53057098388672,1.0225562618870754e-09
54,1.2179701514014596e-07,27.53057098388672,6.901359483890701e-10
55,1.211068791917569e-07,27.53057098388672,1.2771437241099193e-09
56,1.1982973546764697e-07,27.53057098388672,4.461924163479125e-10
57,1.1938354305129906e-07,27.53057098388672,1.5647287909814622e-09
58,1.178188142603176e-07,27.53057098388672,7.467804152838653e-12
59,1.1781134645616476e-07,27.53057098388672,2.1893953316975967e-10
60,1.17592406922995e-07,27.53057098388672,2.2438229052568204e-10
61,1.1736802463246931e-07,27.53057098388672,3.5779379459199845e-10
62,1.1701023083787732e-07,27.53057098388672,1.5193180047390342e-09
63,1.1549091283313828e-07,27.53057098388672,4.0378722587774973e-10
64,1.1508712560726053e-07,27.53057098388672,1.7434871324439882e-09
65,1.1334363847481654e-07,27.53057098388672,3.866986730827193e-10
66,1.1295693980173382e-07,27.53057098388672,5.942155212323996e-09
67,1.0701478458940983e-07,27.53057098388672,5.4871520660526585e-09
68,1.0152763252335717e-07,27.53057098388672,6.24315532604669e-09
69,9.528447719731048e-08,27.53057098388672,2.1656205717590638e-09
70,9.311885662555142e-08,27.53057098388672,4.142677312302112e-10
71,9.27045888943212e-08,27.53057098388672,5.309104267325893e-10
72,9.217367846758862e-08,27.53057098388672,2.471452376084926e-09
73,8.970222609150369e-08,27.53057098388672,1.9607448109582037e-08
74,7.009477798192165e-08,27.53057098388672,2.8298085652522786e-08
75,4.1796692329398866e-08,27.53057098388672,3.992018093867955e-08
76,1.876512722986945e-09,27.53057098388672,0.0
