epoch,phase,loss,torsion,volume,topological,boundary,det_gram_h2,lr
0,phase1_neck_stability,5.695537567138672,6.593426942825317,2.3204484023153782e-07,1.7891895174980164,1.2192680835723877,1.0021004676818848,9.999999755727293e-05
1,phase1_neck_stability,3.8915830850601196,2.9850142002105713,2.2846506908535957e-07,1.7891893982887268,1.2197720408439636,1.0021005868911743,9.999999022909196e-05
2,phase1_neck_stability,3.2332186698913574,1.66940176486969,2.2961467038840055e-07,1.7891891598701477,1.218656301498413,1.0021007657051086,9.999997801545782e-05
3,phase1_neck_stability,2.9237788915634155,1.0483061075210571,2.2743188310414553e-07,1.7891892194747925,1.220872402191162,1.0021007657051086,9.999996091637173e-05
4,phase1_neck_stability,2.748681426048279,0.6996667385101318,2.2558378987014294e-07,1.7891892790794373,1.2193168997764587,1.002100646495819,9.999993893183533e-05
5,phase1_neck_stability,2.6434733867645264,0.48829737305641174,2.2364838514477015e-07,1.7891893982887268,1.2202694416046143,1.0021005868911743,9.999991206185084e-05
6,phase1_neck_stability,2.5720866918563843,0.34576451778411865,2.2364838514477015e-07,1.7891896963119507,1.220028579235077,1.0021002888679504,9.999988030642087e-05
7,phase1_neck_stability,2.5280935764312744,0.25695130228996277,2.2462336346507072e-07,1.7891893982887268,1.220855951309204,1.0021005272865295,9.99998436655486e-05
8,phase1_neck_stability,2.496750593185425,0.19635941088199615,2.2364838514477015e-07,1.789189636707306,1.2187617421150208,1.0021002888679504,9.99998021392376e-05
9,phase1_neck_stability,2.4763206243515015,0.15457332879304886,2.1900632418692112e-07,1.7891892194747925,1.2196886539459229,1.0021007061004639,9.999975572749201e-05
10,phase1_neck_stability,2.4596517086029053,0.12295351177453995,2.2025778889656067e-07,1.7891895174980164,1.2179699540138245,1.0021005272865295,9.999970443031635e-05
11,phase1_neck_stability,2.449698328971863,0.10027439892292023,2.2698077373206615e-07,1.7891895174980164,1.2207423448562622,1.0021004676818848,9.999964824771575e-05
12,phase1_neck_stability,2.4423547983169556,0.08581618592143059,2.1714367903769016e-07,1.7891890406608582,1.2205145955085754,1.0021008849143982,9.999958717969574e-05
13,phase1_neck_stability,2.4362425804138184,0.07339396700263023,2.2027234081178904e-07,1.789189100265503,1.2207120060920715,1.0021008253097534,9.999952122626232e-05
14,phase1_neck_stability,2.4311903715133667,0.0631166435778141,2.2132007870823145e-07,1.7891890406608582,1.2208850383758545,1.0021008849143982,9.999945038742202e-05
15,phase1_neck_stability,2.427316904067993,0.05546361953020096,2.2134918253868818e-07,1.789189338684082,1.2207906246185303,1.0021007061004639,9.999937466318183e-05
16,phase1_neck_stability,2.424363374710083,0.050087038427591324,2.1987943910062313e-07,1.7891889810562134,1.2202608585357666,1.002100944519043,9.999929405354921e-05
17,phase1_neck_stability,2.4212177991867065,0.045618828386068344,2.201995812356472e-07,1.7891891598701477,1.2184374928474426,1.0021007657051086,9.999920855853213e-05
18,phase1_neck_stability,2.4197375774383545,0.041321441531181335,2.2332824300974607e-07,1.7891891598701477,1.2197746634483337,1.0021007657051086,9.999911817813903e-05
19,phase1_neck_stability,2.416353225708008,0.036660511046648026,2.173037501052022e-07,1.7891892790794373,1.217666506767273,1.002100646495819,9.999902291237881e-05
20,phase1_neck_stability,2.4157580137252808,0.03371744975447655,2.1408777683973312e-07,1.789189338684082,1.2194191813468933,1.0021005868911743,9.99989227612609e-05
21,phase1_neck_stability,2.414841055870056,0.030581302009522915,2.1724554244428873e-07,1.7891887426376343,1.220722258090973,1.002101182937622,9.999881772479516e-05
22,phase1_neck_stability,2.4133063554763794,0.02762981317937374,2.1258892957121134e-07,1.7891892790794373,1.2206035256385803,1.002100646495819,9.999870780299197e-05
23,phase1_neck_stability,2.411851406097412,0.024792179465293884,2.1903542801737785e-07,1.7891892194747925,1.220531165599823,1.0021007061004639,9.999859299586219e-05
24,phase1_neck_stability,2.410651683807373,0.02277282066643238,2.1385494619607925e-07,1.7891889214515686,1.2201517820358276,1.0021010041236877,9.999847330341712e-05
25,phase1_neck_stability,2.410772681236267,0.020945221185684204,2.1529558580368757e-07,1.7891894578933716,1.2222204804420471,1.0021005272865295,9.99983487256686e-05
26,phase1_neck_stability,2.4082452058792114,0.019027062691748142,2.1781306713819504e-07,1.7891892790794373,1.219083845615387,1.0021007061004639,9.99982192626289e-05
27,phase1_neck_stability,2.407087564468384,0.01762254536151886,2.1378218661993742e-07,1.789189338684082,1.2181730270385742,1.002100646495819,9.999808491431083e-05
28,phase1_neck_stability,2.4065409898757935,0.016244377940893173,2.1603773348033428e-07,1.789189338684082,1.2184579968452454,1.002100646495819,9.999794568072761e-05
29,phase1_neck_stability,2.4059107303619385,0.014929153956472874,2.114684320986271e-07,1.7891895174980164,1.2185124158859253,1.00210040807724,9.999780156189303e-05
