epsilon,lambda_1
0.01,1.0
0.01438449888287663,1.0
0.0206913808111479,1.0
0.029763514416313176,1.0
0.04281332398719394,1.0
0.06158482110660264,1.0
0.08858667904100823,1.0
0.12742749857031335,1.0
0.18329807108324356,1.0
0.26366508987303583,1.0
0.37926901907322497,1.0
0.5455594781168517,1.0
0.7847599703514611,1.0
1.1288378916846884,1.0
1.623776739188721,1.0
2.3357214690901213,1.0
3.359818286283781,1.0
4.832930238571752,1.0
6.951927961775605,1.0
10.0,1.0
