b2,b3,H_star,lambda_1,gift_prediction,lambda_times_H,n_points,name
5,30,36,0.15726275742053986,0.3888888888888889,5.661459267139435,3000,Small
12,43,56,0.15726275742053986,0.25,8.806714415550232,3000,Joyce_J1
0,103,104,0.15726275742053986,0.1346153846153846,16.355326771736145,3000,Joyce_J4
21,77,99,0.15726275742053986,0.1414141414141414,15.569012984633446,3000,K7_GIFT
14,84,99,0.15726275742053986,0.1414141414141414,15.569012984633446,3000,Synth_99a
35,63,99,0.15726275742053986,0.1414141414141414,15.569012984633446,3000,Synth_99b
0,71,72,0.15726275742053986,0.19444444444444445,11.32291853427887,3000,Kovalev_TCS1
40,150,191,0.15726275742053986,0.07329842931937172,30.037186667323112,3000,Large
