sigma,s,alpha,det_mean,det_std,kappa_T,g_posdef,phi_norm_mean,phi_norm_std,y_rank,m2_over_m3,m1_over_m3,stable,notes
0.8,0.8,-0.1,3.0124685314108375e-06,8.79838943375096e-06,499.59055260894235,True,3504.1338682625965,4204.582686011639,,,,False,det=0.0000; kappa=499.5906; norm=3504.1339
0.8,0.8,0.1,6.042896723862338e-06,1.5188517213865943e-05,466.82286645821426,True,3274.7600652075,3412.5265804720825,,,,False,det=0.0000; kappa=466.8229; norm=3274.7601
0.8,1.2,-0.1,0.00027570460996856826,0.000890460050071883,235.90494689239765,True,1658.3346282467835,2713.812626449716,,,,False,det=0.0003; kappa=235.9049; norm=1658.3346
0.8,1.2,0.1,0.0006999745558686668,0.0018836227435054056,226.9529851927272,True,1595.6708963490903,2289.0374226865383,,,,False,det=0.0007; kappa=226.9530; norm=1595.6709
1.2,0.8,-0.1,0.00027570460996856826,0.000890460050071883,235.90494689239765,True,1658.3346282467835,2713.812626449716,,,,False,det=0.0003; kappa=235.9049; norm=1658.3346
1.2,0.8,0.1,0.0006999745558686668,0.0018836227435054056,226.9529851927272,True,1595.6708963490903,2289.0374226865383,,,,False,det=0.0007; kappa=226.9530; norm=1595.6709
1.2,1.2,-0.1,0.041850742665909955,0.13071438677730737,102.75968789939554,True,726.3178152957688,1575.0536439655014,,,,False,det=0.0419; kappa=102.7597; norm=726.3178
1.2,1.2,0.1,0.13256881910847818,0.3808754064866417,102.70870924927999,True,725.9609647449599,1293.0577645574292,,,,False,det=0.1326; kappa=102.7087; norm=725.9610
