observable,formula,experimental,theoretical,deviation_pct,binary_repr,category
theta_C → m_mu_over_me,theta_C × 2^4,206.768,208.64,0.9053625319198259,,period_doubling
m_d_over_mu → theta_13,m_d_over_mu × 2^2,8.57,8.648,0.9101516919486512,,period_doubling
Omega_DM,2^-8 × M5,0.12,0.12109375,0.911458333333337,0.00011110101110000101,power_of_2_with_constant
theta_C → m_b_over_mc,theta_C × 2^-2,3.29,3.26,0.9118541033434726,,period_doubling
m_b_over_mc → theta_C,m_b_over_mc × 2^2,13.04,13.16,0.9202453987730138,,period_doubling
m_t_over_mc → theta_13,m_t_over_mc × 2^-4,8.57,8.489375,0.9407817969661552,,period_doubling
theta_13 → m_t_over_mc,theta_13 × 2^4,135.83,137.12,0.9497165574615268,,period_doubling
n_s,2^-2 × tau,0.9649,0.9741863075196409,0.9624113918168596,0.11110111000000111010,power_of_2_with_constant
alpha_inv → m_d_over_mu,alpha_inv × 2^-6,2.162,2.1411875,0.9626503237742785,,period_doubling
m_d_over_mu → alpha_inv,m_d_over_mu × 2^6,137.036,138.368,0.972007355731336,,period_doubling
m_H,2^2 × M5,125.25,124,0.998003992015968,1111101.01,power_of_2_with_constant
