observable,obs_key,formula,experimental,theoretical,deviation_pct,phi_power,scaling
m_b/m_s,m_b_m_s,4×(φ-1)^-5,44.76,44.36067977499792,0.8921363382530803,5.0,
m_b/m_s,m_b_m_s,4×φ^5,44.76,44.360679774997905,0.892136338253112,5.0,4.0
δ_CP,delta_CP,29×φ^4,197.0,198.76895702124088,0.897947726518213,4.0,29.0
δ_CP,delta_CP,29×(φ-1)^-4,197.0,198.76895702124094,0.897947726518242,4.0,
v_EW,v_EW,22×(φ-1)^-5,246.22,243.98373876248854,0.9082370390347887,5.0,
v_EW,v_EW,22×φ^5,246.22,243.98373876248849,0.9082370390348118,5.0,22.0
m_s,m_s,36×φ^2,93.4,94.24922359499621,0.9092329710880125,2.0,36.0
m_s,m_s,36×(φ-1)^-2,93.4,94.24922359499624,0.9092329710880429,2.0,
m_t/m_c,m_t_m_c,20×φ^4,135.83,137.0820393249937,0.9217693624336954,4.0,20.0
m_t/m_c,m_t_m_c,20×(φ-1)^-4,135.83,137.08203932499376,0.9217693624337374,4.0,
m_c/m_s,m_c_m_s,φ^-1×δ_F^2,13.6,13.474033189682197,0.926226546454428,-1.0,
θ₁₃,theta_13,14×φ^-1,8.57,8.652475842498527,0.9623785589092949,-1.0,14.0
θ₁₃,theta_13,14×(φ-1)^1,8.57,8.652475842498527,0.9623785589092949,-1.0,
