observable,formula,experimental,theoretical,deviation_pct,complexity,pattern_type,quality
theta_23,50*ζ(13)*ζ(9)/ζ(7),49.2,49.69167164683954,0.9993326155275102,9,triple_zeta,16.837080302061004
H_0,50*ζ(3)^2*ζ(11)^3,73.04,72.35420594689785,0.9389294264815948,10,product,16.835576725803893
H_0,50*ζ(11)^3*ζ(3)^2,73.04,72.35420594689785,0.9389294264815948,10,product,16.835576725803893
H_0,50*ζ(3)^2*ζ(11)^2,73.04,72.31846616092113,0.9878612254639553,10,product,16.82726069356913
H_0,50*ζ(11)^2*ζ(3)^2,73.04,72.31846616092113,0.9878612254639553,10,product,16.82726069356913
m_b_over_m_s,50*ζ(5)*ζ(5)/ζ(3),44.76,44.724141694658535,0.08011238905599508,9,triple_zeta,16.591557607677817
m_b_over_m_s,32*ζ(3)*ζ(3)/ζ(5),44.76,44.591441474327844,0.37658294386093344,9,triple_zeta,16.542329086643257
m_b_over_m_s,100*(ζ(3)^2-ζ(13)^2),44.76,44.46953757823204,0.648933024503922,9,mixed_quadratic,16.497105736612696
m_b_over_m_s,100*(ζ(3)^2-ζ(11)^2),44.76,44.395214660397045,0.8149806514811289,9,mixed_quadratic,16.469533760357702
theta_12,32*ζ(5)*ζ(7)/ζ(11),33.44,33.44220634260276,0.006597914481942059,9,triple_zeta,15.369617286699228
theta_12,32*ζ(7)*ζ(5)/ζ(11),33.44,33.44220634260276,0.006597914481942059,9,triple_zeta,15.369617286699228
theta_12,24*ζ(3)*ζ(3)/ζ(5),33.44,33.443581105745885,0.010709048283155545,9,triple_zeta,15.36898537947514
theta_12,32*ζ(5)*ζ(7)/ζ(13),33.44,33.454628598048295,0.04374580756069735,9,triple_zeta,15.363907420970895
theta_12,32*ζ(7)*ζ(5)/ζ(13),33.44,33.454628598048295,0.04374580756069735,9,triple_zeta,15.363907420970895
theta_12,32*ζ(5)*ζ(7)/ζ(9),33.44,33.39167298412326,0.14451858814813642,9,triple_zeta,15.348418008287236
theta_12,32*ζ(7)*ζ(5)/ζ(9),33.44,33.39167298412326,0.14451858814813642,9,triple_zeta,15.348418008287236
theta_12,ζ(3)/ζ(7)*P_2,33.44,33.37890272745764,0.18270715473192312,9,mixed_perfect,15.342548184470076
theta_12,ζ(3)/ζ(9)*P_2,33.44,33.59013413361946,0.4489657105845094,9,mixed_perfect,15.30162256320495
theta_12,32*ζ(5)*ζ(9)/ζ(13),33.44,33.244249317832384,0.5853788342332936,9,triple_zeta,15.280655004749724
theta_12,32*ζ(9)*ζ(5)/ζ(13),33.44,33.244249317832384,0.5853788342332936,9,triple_zeta,15.280655004749724
theta_12,ζ(3)/ζ(11)*P_2,33.44,33.64096783369659,0.6009803639252237,9,mixed_perfect,15.278256951123677
theta_12,32*ζ(5)*ζ(9)/ζ(11),33.44,33.231905179683885,0.6222931229548829,9,triple_zeta,15.274981045486129
theta_12,32*ζ(9)*ζ(5)/ζ(11),33.44,33.231905179683885,0.6222931229548829,9,triple_zeta,15.274981045486129
theta_12,ζ(3)/ζ(13)*P_2,33.44,33.65346391997702,0.638349042993491,9,mixed_perfect,15.272513149194648
theta_12,32*ζ(5)*ζ(11)/ζ(13),33.44,33.19401508534934,0.7356008213237311,9,triple_zeta,15.257564936790512
theta_12,32*ζ(11)*ζ(5)/ζ(13),33.44,33.19401508534934,0.7356008213237311,9,triple_zeta,15.257564936790512
theta_12,32*ζ(3)*ζ(5)/ζ(3),33.44,33.1816896,0.7724593301435382,9,triple_zeta,15.25189955125003
theta_12,32*ζ(5)*ζ(3)/ζ(3),33.44,33.1816896,0.7724593301435382,9,triple_zeta,15.25189955125003
theta_12,32*ζ(5)*ζ(7)/ζ(7),33.44,33.1816896,0.7724593301435382,9,triple_zeta,15.25189955125003
theta_12,32*ζ(5)*ζ(9)/ζ(9),33.44,33.1816896,0.7724593301435382,9,triple_zeta,15.25189955125003
theta_12,32*ζ(5)*ζ(11)/ζ(11),33.44,33.1816896,0.7724593301435382,9,triple_zeta,15.25189955125003
theta_12,32*ζ(5)*ζ(13)/ζ(13),33.44,33.1816896,0.7724593301435382,9,triple_zeta,15.25189955125003
theta_12,32*ζ(7)*ζ(5)/ζ(7),33.44,33.1816896,0.7724593301435382,9,triple_zeta,15.25189955125003
theta_12,32*ζ(9)*ζ(5)/ζ(9),33.44,33.1816896,0.7724593301435382,9,triple_zeta,15.25189955125003
theta_12,32*ζ(11)*ζ(5)/ζ(11),33.44,33.1816896,0.7724593301435382,9,triple_zeta,15.25189955125003
theta_12,32*ζ(13)*ζ(5)/ζ(13),33.44,33.1816896,0.7724593301435382,9,triple_zeta,15.25189955125003
theta_12,32*ζ(5)*ζ(13)/ζ(11),33.44,33.16936869130667,0.8093041527910436,9,triple_zeta,15.246236269360647
theta_12,32*ζ(13)*ζ(5)/ζ(11),33.44,33.16936869130667,0.8093041527910436,9,triple_zeta,15.246236269360647
theta_12,32*ζ(5)*ζ(11)/ζ(9),33.44,33.13154989933748,0.9223986263831307,9,triple_zeta,15.22885293465958
theta_12,32*ζ(11)*ζ(5)/ζ(9),33.44,33.13154989933748,0.9223986263831307,9,triple_zeta,15.22885293465958
theta_12,32*ζ(5)*ζ(13)/ζ(9),33.44,33.11924760834208,0.9591877740966481,9,triple_zeta,15.2231982103591
